Tissue	Cell type	Negative Gene Names
small intestine	undifferentiated cells	['MUC4', 'IL4R', 'CDON', 'TLR9', 'ALCAM']
rectum	enteroendocrine cells	['IL4R', 'TLR9']
rectum	undifferentiated cells	['IL4R', 'ALCAM', 'TLR9']
rectum	distal enterocytes	['IL4R', 'ALCAM', 'TLR9']
rectum	intestinal goblet cells	['IL4R', 'ALCAM', 'TLR9']
colon	enteroendocrine cells	['IL4R', 'TLR9']
colon	undifferentiated cells	['IL4R', 'ALCAM', 'TLR9']
colon	distal enterocytes	['IL4R', 'ALCAM', 'TLR9']
colon	intestinal goblet cells	['IL4R', 'ALCAM', 'TLR9']
eye	horizontal cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	bipolar cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	cone photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	muller glia cells	['TPBG', 'CNTNAP2', 'NTNG1']
testis	peritubular cells	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
testis	early spermatids	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
testis	late spermatids	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
testis	endothelial cells	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
testis	spermatocytes	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
testis	leydig cells	['STIM1', 'CD55', 'KITLG', 'NOTCH2', 'FAS', 'CLU']
testis	spermatogonia	['NOTCH2', 'FAS', 'STIM1', 'PTCH1', 'EDNRA', 'CD55', 'THBS2', 'CLU', 'KITLG', 'PLAUR']
liver	smooth muscle cells	['CD163', 'GGT7', 'LRP5', 'MME', 'ALPL', 'FGFR4', 'CD38', 'AQP1', 'TLR4', 'AMBP', 'MSR1', 'JAG1', 'SLC4A2', 'EPCAM', 'CLEC1B', 'SLC15A3', 'ITGB4', 'HFE', 'GGT1', 'CD14', 'LEPR', 'TLR9', 'TACSTD2', 'ICAM1', 'CDH1']
liver	kupffer cells	['AQP1', 'EPCAM', 'ITGB4', 'LEPR', 'GGT7', 'LRP5', 'MME', 'SLC4A2', 'AMBP', 'GGT1', 'TACSTD2', 'ALPL', 'FGFR4', 'ICAM1', 'JAG1', 'CDH1']
liver	erythroid cells	['CD163', 'GGT7', 'LRP5', 'MME', 'ALPL', 'FGFR4', 'CD38', 'AQP1', 'TLR4', 'AMBP', 'MSR1', 'JAG1', 'SLC4A2', 'EPCAM', 'CLEC1B', 'SLC15A3', 'ITGB4', 'HFE', 'GGT1', 'CD14', 'LEPR', 'TLR9', 'TACSTD2', 'ICAM1', 'CDH1']
liver	cholangiocytes	['CLEC1B', 'CD163', 'SLC15A3', 'LEPR', 'TLR4', 'LRP5', 'MME', 'HFE', 'TLR9', 'AMBP', 'MSR1', 'FGFR4', 'ICAM1', 'CD38', 'CD14', 'CDH1']
liver	endothelial cells	['CD163', 'GGT7', 'LRP5', 'MME', 'ALPL', 'FGFR4', 'CD38', 'AQP1', 'TLR4', 'AMBP', 'MSR1', 'JAG1', 'SLC4A2', 'EPCAM', 'CLEC1B', 'SLC15A3', 'ITGB4', 'HFE', 'GGT1', 'CD14', 'LEPR', 'TLR9', 'TACSTD2', 'ICAM1', 'CDH1']
liver	fibroblasts	['CD163', 'GGT7', 'LRP5', 'MME', 'ALPL', 'FGFR4', 'CD38', 'AQP1', 'TLR4', 'AMBP', 'MSR1', 'JAG1', 'SLC4A2', 'EPCAM', 'CLEC1B', 'SLC15A3', 'ITGB4', 'HFE', 'GGT1', 'CD14', 'LEPR', 'TLR9', 'TACSTD2', 'ICAM1', 'CDH1']
rectum	paneth cells	['ALCAM']
lung	club cells	['FAP', 'CD163', 'PDGFRA', 'GPRC5A', 'P2RX7', 'EMP2', 'PDGFRB', 'COL6A2', 'CD34', 'ICAM1', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
lung	smooth muscle cells	['FAP', 'CD163', 'PDGFRA', 'GPRC5A', 'P2RX7', 'EMP2', 'PDGFRB', 'COL6A2', 'CD34', 'ICAM1', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
lung	endothelial cells	['FAP', 'CD163', 'PDGFRA', 'GPRC5A', 'P2RX7', 'EMP2', 'PDGFRB', 'COL6A2', 'CD34', 'ICAM1', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
lung	alveolar cells type 1	['FAP', 'CD163', 'PDGFRA', 'PDGFRB', 'COL6A2', 'CD34', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
lung	fibroblasts	['GPRC5A', 'P2RX7', 'EMP2', 'ICAM1', 'CD36']
lung	ciliated cells	['FAP', 'CD163', 'PDGFRA', 'GPRC5A', 'P2RX7', 'EMP2', 'PDGFRB', 'COL6A2', 'CD34', 'ICAM1', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
brain	excitatory neurons	['LRRC8A', 'HEPACAM', 'CD109', 'RYR3', 'S1PR1', 'GRIA2', 'TMEM63A', 'CCR7', 'RTN4', 'S1PR5', 'CPVL', 'CDH13', 'EFNB3', 'HLA-E', 'ABCA1', 'CA12', 'PCDH15', 'SLC14A1', 'ATP1B2', 'P2RX7', 'SLC1A3', 'ENTPD2', 'CD40', 'NPC1', 'CD86', 'LRP1', 'LRRN1', 'EPHB1', 'F3', 'PCDH9', 'TYRO3', 'TSPAN15', 'SORCS2', 'FGFR2', 'NTRK2', 'ITGB4', 'EVI2A', 'CXADR', 'PLXNB1', 'ITGA7', 'PON2', 'ITGA6', 'ITGA1', 'SLC15A2', 'ALCAM', 'UGT8', 'CSPG4', 'CNTNAP2', 'BACE1', 'NRP1', 'L1CAM', 'PDGFRA', 'FGFR3', 'MCAM', 'SLC6A11', 'CLU', 'CD44', 'CD80', 'ERBB3', 'VIM', 'OPCML', 'SORL1', 'THY1', 'SEMA4D']
brain	oligodendrocytes	['HEPACAM', 'RYR3', 'HLA-E', 'ABCA1', 'ENTPD2', 'CD40', 'PDGFRA', 'SORL1', 'CD109', 'CA12', 'PCDH15', 'CD86', 'LRP1', 'F3', 'NTRK2', 'ITGB4', 'ITGA7', 'ITGA6', 'SLC6A11', 'CLU', 'VIM', 'S1PR1', 'CCR7', 'PON2', 'PLXNB1', 'FGFR3', 'CD44', 'LRRC8A', 'CPVL', 'SLC14A1', 'ATP1B2', 'SLC1A3', 'SORCS2', 'ITGA1', 'SLC15A2', 'NRP1', 'L1CAM', 'CD80']
brain	oligodendrocyte precursor cells	['LRRC8A', 'HEPACAM', 'CD109', 'RYR3', 'S1PR1', 'GRIA2', 'TMEM63A', 'CCR7', 'RTN4', 'S1PR5', 'CPVL', 'CDH13', 'EFNB3', 'HLA-E', 'ABCA1', 'CA12', 'PCDH15', 'SLC14A1', 'ATP1B2', 'P2RX7', 'SLC1A3', 'ENTPD2', 'CD40', 'NPC1', 'CD86', 'LRP1', 'LRRN1', 'EPHB1', 'F3', 'PCDH9', 'TYRO3', 'TSPAN15', 'SORCS2', 'FGFR2', 'NTRK2', 'ITGB4', 'EVI2A', 'CXADR', 'PLXNB1', 'ITGA7', 'PON2', 'ITGA6', 'ITGA1', 'SLC15A2', 'ALCAM', 'UGT8', 'CSPG4', 'CNTNAP2', 'BACE1', 'NRP1', 'L1CAM', 'PDGFRA', 'FGFR3', 'MCAM', 'SLC6A11', 'CLU', 'CD44', 'CD80', 'ERBB3', 'VIM', 'OPCML', 'SORL1', 'THY1', 'SEMA4D']
brain	microglial cells	['LRRC8A', 'HEPACAM', 'CD109', 'RYR3', 'S1PR1', 'GRIA2', 'TMEM63A', 'CCR7', 'RTN4', 'S1PR5', 'CPVL', 'CDH13', 'EFNB3', 'HLA-E', 'ABCA1', 'CA12', 'PCDH15', 'SLC14A1', 'ATP1B2', 'P2RX7', 'SLC1A3', 'ENTPD2', 'CD40', 'NPC1', 'CD86', 'LRP1', 'LRRN1', 'EPHB1', 'F3', 'PCDH9', 'TYRO3', 'TSPAN15', 'SORCS2', 'FGFR2', 'NTRK2', 'ITGB4', 'EVI2A', 'CXADR', 'PLXNB1', 'ITGA7', 'PON2', 'ITGA6', 'ITGA1', 'SLC15A2', 'ALCAM', 'UGT8', 'CSPG4', 'CNTNAP2', 'BACE1', 'NRP1', 'L1CAM', 'PDGFRA', 'FGFR3', 'MCAM', 'SLC6A11', 'CLU', 'CD44', 'CD80', 'ERBB3', 'VIM', 'OPCML', 'SORL1', 'THY1', 'SEMA4D']
brain	inhibitory neurons	['LRRC8A', 'HEPACAM', 'CD109', 'RYR3', 'S1PR1', 'GRIA2', 'TMEM63A', 'CCR7', 'RTN4', 'S1PR5', 'CPVL', 'CDH13', 'EFNB3', 'HLA-E', 'ABCA1', 'CA12', 'PCDH15', 'SLC14A1', 'ATP1B2', 'P2RX7', 'SLC1A3', 'ENTPD2', 'CD40', 'NPC1', 'CD86', 'LRP1', 'LRRN1', 'EPHB1', 'F3', 'PCDH9', 'TYRO3', 'TSPAN15', 'SORCS2', 'FGFR2', 'NTRK2', 'ITGB4', 'EVI2A', 'CXADR', 'PLXNB1', 'ITGA7', 'PON2', 'ITGA6', 'ITGA1', 'SLC15A2', 'ALCAM', 'UGT8', 'CSPG4', 'CNTNAP2', 'BACE1', 'NRP1', 'L1CAM', 'PDGFRA', 'FGFR3', 'MCAM', 'SLC6A11', 'CLU', 'CD44', 'CD80', 'ERBB3', 'VIM', 'OPCML', 'SORL1', 'THY1', 'SEMA4D']
adipose tissue	schwann cells	['FAP', 'SLC1A5', 'NT5E', 'LAMA2', 'ADRB2', 'ITGAL', 'DPEP1', 'PDGFRB', 'TLR2', 'AOC3', 'ADAM12', 'DDR2', 'ENTPD2', 'FZD4', 'CD40', 'TLR4', 'PTCH1', 'CD55', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'CTSK', 'EGFR', 'SCARA5', 'CDH11', 'TNFRSF9', 'PKD2', 'IL1R1', 'PTPRC', 'PDGFRA', 'THBS2', 'HHIP', 'STEAP4', 'CD44', 'SLC2A4', 'VIM', 'THY1']
adipose tissue	smooth muscle cells	['FAP', 'SLC1A5', 'NT5E', 'LAMA2', 'ADRB2', 'ITGAL', 'DPEP1', 'PDGFRB', 'TLR2', 'AOC3', 'ADAM12', 'DDR2', 'ENTPD2', 'FZD4', 'CD40', 'TLR4', 'PTCH1', 'CD55', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'CTSK', 'EGFR', 'SCARA5', 'CDH11', 'TNFRSF9', 'PKD2', 'IL1R1', 'PTPRC', 'PDGFRA', 'THBS2', 'HHIP', 'STEAP4', 'CD44', 'SLC2A4', 'VIM', 'THY1']
adipose tissue	adipocytes	['FAP', 'ENTPD2', 'CD40', 'PTCH1', 'PDGFRA', 'THY1', 'NT5E', 'LAMA2', 'ITGAL', 'LRP1', 'CTSK', 'THBS2', 'VIM', 'DDR2', 'CD55', 'SCARA5', 'CDH11', 'PTPRC', 'IL1R1', 'HHIP', 'CD44', 'DPEP1', 'PDGFRB', 'COL6A2', 'PKD2']
immune	t-cells	['IGHG4', 'CD19', 'CD72', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'STAB1', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'SLAMF6', 'KLRC1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'SIGLEC1', 'CD4', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'CD2', 'CD70', 'CD36', 'HLA-A', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'ICAM1']
bronchus	club cells	['SLC12A2', 'SLC9A7']
bronchus	smooth muscle cells	['SLC12A2', 'SLC9A7']
bronchus	basal respiratory cells	['SLC12A2', 'SLC9A7']
bronchus	ciliated cells	['SLC12A2', 'SLC9A7']
vascular	schwann cells	['TGFBR2', 'PTPRB', 'CD82', 'PDGFRB', 'TIE1', 'DPP4', 'TEK', 'PECAM1', 'HSPG2', 'AQP1', 'THSD1', 'PODXL', 'LIFR', 'CD55', 'NRP2', 'SEMA7A', 'RAMP3', 'FLT4', 'NPR1', 'HYAL2', 'PLVAP', 'CLEC14A', 'EMP1', 'CLEC1B', 'PROCR', 'CD34', 'ITGB3', 'STAB1', 'TSPAN8', 'CDH5', 'SLC7A5', 'SLC2A1', 'VCAM1', 'MCAM', 'FLT1', 'APLNR', 'CALCRL', 'ICAM1', 'ECE1', 'ENG', 'CD36', 'ICAM2', 'THBD']
vascular	fibroblasts	['TGFBR2', 'PTPRB', 'CD82', 'PDGFRB', 'TIE1', 'DPP4', 'TEK', 'PECAM1', 'HSPG2', 'AQP1', 'THSD1', 'PODXL', 'LIFR', 'CD55', 'NRP2', 'SEMA7A', 'RAMP3', 'FLT4', 'NPR1', 'HYAL2', 'PLVAP', 'CLEC14A', 'EMP1', 'CLEC1B', 'PROCR', 'CD34', 'ITGB3', 'STAB1', 'TSPAN8', 'CDH5', 'SLC7A5', 'SLC2A1', 'VCAM1', 'MCAM', 'FLT1', 'APLNR', 'CALCRL', 'ICAM1', 'ECE1', 'ENG', 'CD36', 'ICAM2', 'THBD']
vascular	endothelial cells	['PDGFRB']
liver	hepatocytes	['AQP1', 'EPCAM', 'CLEC1B', 'CD163', 'SLC15A3', 'ITGB4', 'TLR4', 'GGT7', 'HFE', 'TLR9', 'GGT1', 'TACSTD2', 'MSR1', 'ALPL', 'CD14', 'JAG1', 'CD38', 'SLC4A2']
heart muscle	fibroblasts	['SLC5A1', 'AQP1', 'CD36', 'NOTCH1', 'SIRPA']
