Tissue	Cell type	Positive Gene Names
brain	oligodendrocytes	['RTN4', 'UGT8', 'EVI2A', 'HEPACAM', 'S1PR5', 'OPCML', 'PCDH9', 'NPC1', 'CXADR', 'EPHB1', 'LRRN1', 'EFNB3', 'CDH13', 'THY1', 'TMEM63A', 'MCAM', 'P2RX7', 'CSPG4', 'PCDH15', 'ALCAM', 'SEMA4D', 'ITGB4', 'CNTNAP2', 'BACE1', 'ERBB3', 'PDGFRA', 'TYRO3', 'TSPAN15', 'GRIA2', 'FGFR2']
immune	dendritic cells	['PTPRC', 'ITGAM', 'TLR9', 'HFE', 'HLA-DRB5', 'FCGR2B', 'SIGLEC6', 'KIT', 'CD180', 'GPR132', 'DPP4', 'CXCL16', 'NAAA', 'CD1B', 'CR2', 'HLA-B', 'HLA-DRA', 'FLT3', 'CXCR3', 'AXL', 'HLA-DPB1', 'CD163', 'ADAM19', 'CD22', 'CD14', 'SIRPA', 'CD83', 'BTLA', 'SEMA4A', 'HLA-DQB1', 'CCR7', 'SLAMF7', 'ITGAE', 'ITGAX', 'CD28', 'HLA-DQA1', 'P2RY10', 'CD86', 'TLR3', 'HLA-DPA1', 'PDCD1LG2', 'FCGR3A', 'HLA-DRB1', 'LY75', 'CD1C', 'HLA-C', 'CADM1', 'HLA-A']
immune	nk-cells	['ITGAM', 'KLRB1', 'SLAMF6', 'KLRC1', 'CD2', 'IL2RB', 'KIT', 'CD33', 'DPP4', 'NCR3', 'CD69', 'CD7', 'PCDH15', 'SLAMF7', 'KIR3DL1', 'ITGAX', 'IL2RG', 'KLRG1', 'LILRB1', 'ITGA2', 'CLEC2D', 'FCGR3A', 'KLRF1', 'SIGLEC7', 'CD244', 'CD3G', 'IL18R1', 'CD27']
breast	fibroblasts	['PDGFRB', 'PDGFRA', 'THY1', 'ITGB1']
stomach	fibroblasts	['FAP', 'ITGB1', 'CSPG4', 'PDGFRA', 'VIM', 'THY1', 'PDGFRB', 'COL6A2']
lung	fibroblasts	['FAP', 'PTPRC', 'PDGFRA', 'CD34', 'VIM', 'DDR2', 'THY1', 'CD163', 'PDGFRB', 'COL6A2', 'CD36']
pancreas	fibroblasts	['FAP', 'THY1']
esophagus	fibroblasts	['THY1', 'VIM']
placenta	syncytiotrophoblasts	['CD63']
thymus	fibroblasts	['FAP', 'PDGFRA']
immune	granulocytes	['ITGAM']
skin	fibroblasts	['FAP', 'APCDD1', 'DPP4', 'PDGFRA', 'VIM', 'THY1', 'MXRA8', 'COL6A2', 'CD36']
heart muscle	fibroblasts	['PDGFRA', 'THY1', 'DDR2']
skeletal muscle	fibroblasts	['PDGFRA']
