cell,markers
immune t-cells,"['IL7R', 'KLRB1', 'CD7', 'CD3D', 'TRAC', 'CD2', 'TIGIT', 'TRBV12-3', 'CD40LG', 'KLRF1']"
kidney collecting duct cells,['L1CAM']
kidney distal tubular cells,['PTGER3']
kidney proximal tubular cells,"['DPEP1', 'LRP2', 'CDH6', 'IL17RB', 'VCAM1', 'ENPEP', 'SLC2A9', 'NPR3', 'UGT1A9', 'FOLR1']"
liver cholangiocytes,"['FGFR2', 'HTR1D']"
liver erythroid cells,"['KCNH2', 'SLC22A16', 'SLC6A9', 'CNR2']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'IL13RA2']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'ELOVL6', 'UGT1A9']"
liver kupffer cells,"['CD163', 'FCGR3A', 'CD68', 'MSR1', 'VCAM1', 'ITGB2', 'CYBB', 'CR1', 'CD84', 'ITGAM']"
liver smooth muscle cells,['SELP']
lung alveolar cells type 1,"['EMP2', 'CEACAM6', 'GPRC5A', 'ALPP']"
lung alveolar cells type 2,"['HHIP', 'CACNA2D2', 'ALPL', 'AGTR2', 'LRP2', 'PLA2G3']"
lung ciliated cells,"['IL5RA', 'CACNG6', 'ADORA1', 'CHST6', 'HHLA2']"
lung endothelial cells,"['PECAM1', 'CLEC14A', 'RAMP3', 'HYAL2', 'SLCO2A1', 'EFNB2', 'CALCRL', 'PTPRB', 'PCDH17', 'PODXL']"
lung fibroblasts,"['SCARA5', 'FGFR4']"
lung smooth muscle cells,"['PDGFRB', 'CSPG4', 'MRGPRF', 'KCNK17', 'TRPC6', 'LRRC4B']"
ovary endothelial cells,"['CLEC14A', 'APLNR', 'CLEC1A']"
ovary lymphatic endothelial cells,"['FLT4', 'LRRC15', 'PCDHGB4']"
ovary oocytes,"['ZP4', 'ADCY9', 'MGAT5B', 'CHRNA3', 'SLC29A4', 'CACNA2D2', 'CR2']"
ovary smooth muscle cells,"['MCAM', 'AOC3', 'SUSD5', 'ITGA7', 'CSPG4', 'KCNK17']"
pancreas ductal cells,"['CEACAM6', 'GGT1', 'VNN1']"
pancreas endothelial cells,"['PLVAP', 'ESAM', 'ENG', 'PECAM1', 'F2RL3', 'PODXL', 'APLNR', 'TIE1', 'CD200', 'CLEC14A']"
pancreas exocrine glandular cells,"['LTB', 'ITGB6', 'ACHE']"
pancreas fibroblasts,"['FAP', 'THY1']"
pancreas pancreatic endocrine cells,['KIR2DL3']
pbmc platelets,"['TAGLN2', 'CLEC1B', 'ITGB3', 'ITGA2B', 'TBXA2R', 'CD226', 'P2RX1', 'SELP', 'LPAR5', 'JAM3']"
placenta cytotrophoblasts,"['FOLR1', 'SIGLEC6']"
placenta endothelial cells,"['FCGR2B', 'ICAM2', 'PECAM1', 'APLNR', 'PLVAP', 'JAM2', 'CLEC14A', 'TIE1', 'CD34', 'PCDH17']"
placenta extravillous trophoblasts,"['ABCA7', 'LY6K', 'SLCO4A1', 'IL2RB', 'SLC6A2']"
placenta fibroblasts,"['CDH3', 'APLP1', 'FREM2', 'GFRA2', 'MRC2', 'CDON', 'LRFN1']"
placenta hofbauer cells,"['CD14', 'ITGB2', 'GPNMB', 'PLAUR', 'CD48', 'CD37', 'EVI2A', 'FCGR1A', 'CYBB', 'MSR1']"
placenta smooth muscle cells,"['AGTR1', 'AREG', 'ENPP1', 'NID2', 'KCNK17', 'THY1', 'PCDH18', 'HTR2B', 'MRGPRF', 'CADM3']"
placenta syncytiotrophoblasts,"['ST3GAL4', 'CCR7', 'SLC38A9', 'SLC19A1']"
prostate endothelial cells,"['FLT1', 'PLVAP', 'LIFR', 'PECAM1', 'CLEC14A', 'PTPRB', 'AQP1', 'PODXL', 'SELP', 'LRRC32']"
prostate fibroblasts,"['PDGFRA', 'PTGER3', 'SCARA5', 'ADRA2C', 'PCDHA6']"
prostate smooth muscle cells,"['MCAM', 'SUSD5', 'CSPG4', 'ADRA2A']"
rectum distal enterocytes,"['SLC26A2', 'HHLA2']"
rectum enteroendocrine cells,['SLC29A4']
rectum intestinal goblet cells,['DISP2']
salivary gland endothelial cells,"['PLVAP', 'PECAM1', 'AQP1', 'PTPRB', 'FLT1', 'CLEC14A', 'RAMP3', 'SLCO2A1', 'F2RL3', 'TEK']"
salivary gland fibroblasts,"['CTSK', 'LAMA2', 'SCARA5', 'LEPR', 'FAP', 'CR2', 'CNTFR', 'THBS2', 'MXRA8', 'TRHR']"
salivary gland serous glandular cells,"['IL7R', 'IL1R2', 'FCGR3B', 'PTPRC', 'VNN2', 'SORL1', 'FOLR1', 'CR1', 'CD2', 'FCGR2A']"
salivary gland smooth muscle cells,"['MCAM', 'ITGA8', 'ITGA7', 'SUSD5', 'EDNRA', 'CSPG4', 'SCN4B']"
skeletal muscle endothelial cells,"['AQP1', 'PLVAP', 'ICAM2', 'PECAM1', 'CDH5', 'PTPRB', 'HYAL2', 'SELP', 'TIE1', 'CLEC14A']"
skeletal muscle fibroblasts,"['COL6A2', 'CTSK', 'ABCA8', 'SCARA5', 'THY1', 'MRC2', 'MXRA8', 'ENPP1', 'SCN7A', 'FAP']"
skeletal muscle skeletal myocytes,"['CACNG6', 'CDH15', 'ANO5', 'FREM2', 'ACHE']"
skeletal muscle smooth muscle cells,"['ITGA7', 'SCN4B']"
skin endothelial cells,"['PLVAP', 'RAMP3', 'CD200', 'PECAM1', 'FLT4', 'S1PR1', 'AQP1', 'SELP', 'JAM2', 'PKHD1L1']"
skin fibroblasts,"['CTSK', 'THBS2', 'LEPR', 'COL6A2', 'SCARA5', 'CD70', 'PDGFRA', 'LRRC15', 'SLITRK4', 'CADM3']"
skin langerhans cells,"['HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQA1', 'HLA-DQB1', 'CD83', 'CD1C', 'IL1R2']"
skin melanocytes,"['DCT', 'TYRP1', 'BCAN', 'KIT', 'SLC6A15', 'SLC45A2']"
skin smooth muscle cells,"['ADRA2A', 'P2RX1', 'ITGA8', 'MCAM', 'AOC3', 'PGAP1', 'SLC2A4', 'ADRA2C', 'TSPAN2', 'CDH6']"
skin suprabasal keratinocytes,"['KRT1', 'LYPD3', 'PLA2G3']"
small intestine enteroendocrine cells,"['SLC29A4', 'TMEM63C']"
small intestine paneth cells,['MSLN']
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'SLC5A1', 'ACE', 'ENPEP', 'HHLA2', 'SLC2A5', 'SUSD2', 'MME', 'GGT1']"
stomach fibroblasts,"['CTSK', 'SCARA5', 'PDGFRA', 'COL6A2', 'VASN', 'LRRN4CL', 'PCDHGC3', 'GLT8D2']"
stomach gastric mucus-secreting cells,"['MST1R', 'SLC9A1']"
testis early spermatids,"['TMC7', 'SIRPG', 'IL13RA2', 'CD19']"
testis endothelial cells,"['RAMP3', 'CLEC14A', 'CD34', 'TIE1', 'APLNR', 'TEK', 'PTPRB']"
testis late spermatids,"['CXCL16', 'TSPAN6', 'MFAP3L', 'THBS3', 'ACE', 'MYL6B', 'BACE1', 'GFRA2', 'GOLM1', 'S1PR2']"
testis leydig cells,"['ENTPD2', 'HHIP']"
testis peritubular cells,['DPEP1']
testis spermatocytes,"['LY6K', 'SLC2A5', 'GPR39', 'TPTE', 'SLC22A16', 'SLC6A2']"
thymus endothelial cells,"['PLVAP', 'PECAM1', 'CLEC14A', 'RAMP3', 'SLCO2A1', 'THBD', 'ICAM2', 'PTPRB', 'S1PR1', 'PKHD1L1']"
thymus fibroblasts,"['SCARA5', 'LAMA2', 'LRP1', 'MPZ', 'PDGFRA', 'PTPRS', 'PCDHA11']"
thymus mesothelial cells,"['MSLN', 'MUC16', 'SLC39A8', 'RAET1G', 'LRP2']"
thymus smooth muscle cells,"['STEAP4', 'MCAM', 'ITGA8', 'SUSD2', 'ITGA7', 'AOC3', 'MFGE8', 'EDNRA', 'SUSD5', 'CSPG4']"
tongue basal keratinocytes,"['IGHG2', 'IGHG4', 'IGHG1', 'IGHM', 'CD79A', 'CD27', 'SLAMF7', 'TNFRSF17', 'FCRL5', 'TNFRSF13B']"
tongue endothelial cells,"['PECAM1', 'AQP1', 'PLVAP', 'CLEC14A', 'SLCO2A1', 'PTPRB', 'PODXL', 'LRRC32', 'CDH5', 'TIE1']"
tongue smooth muscle cells,"['APCDD1', 'SUSD5']"
tongue suprabasal keratinocytes,"['KRT1', 'LYPD3', 'DSC2', 'RAET1G', 'EPHA1']"
vascular endothelial cells,"['PECAM1', 'PLVAP', 'PKHD1L1', 'LIFR', 'SLCO2A1', 'PTPRB', 'RAMP3', 'CLEC14A', 'CDH5', 'PODXL']"
vascular fibroblasts,"['SCARA5', 'LAMA2', 'PDGFRA', 'CTSK', 'LRRN4CL']"
vascular schwann cells,"['GPM6B', 'MPZ', 'CDH19', 'ITGB8', 'SCN7A', 'CHL1', 'L1CAM', 'GPR155', 'CADM4', 'SLC15A3']"
vascular smooth muscle cells,"['STEAP4', 'ITGA8', 'MFGE8', 'MCAM', 'THBS2', 'F2R', 'SUSD5', 'ITGA11', 'SLC7A2', 'ITGA7']"
