Tissue	Cell type	Negative Gene Names
small intestine	proximal enterocytes	['TLR9', 'MUC4', 'IL4R', 'CDON', 'ALCAM']
rectum	distal enterocytes	['IL4R', 'TLR9', 'ALCAM']
rectum	enteroendocrine cells	['IL4R', 'TLR9']
rectum	intestinal goblet cells	['IL4R', 'TLR9', 'ALCAM']
rectum	undifferentiated cells	['IL4R', 'TLR9', 'ALCAM']
colon	distal enterocytes	['IL4R', 'TLR9', 'ALCAM']
colon	enteroendocrine cells	['IL4R', 'TLR9']
colon	intestinal goblet cells	['IL4R', 'TLR9', 'ALCAM']
colon	undifferentiated cells	['IL4R', 'TLR9', 'ALCAM']
eye	cone photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	horizontal cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	muller glia cells	['TPBG', 'CNTNAP2', 'NTNG1']
eye	bipolar cells	['TPBG', 'CNTNAP2', 'NTNG1']
testis	spermatogonia	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	late spermatids	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	spermatocytes	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	endothelial cells	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	peritubular cells	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	early spermatids	['STIM1', 'EDNRA', 'PLAUR', 'CLU', 'NOTCH2', 'PTCH1', 'CD55', 'THBS2', 'KITLG', 'FAS']
testis	leydig cells	['KITLG', 'CLU', 'NOTCH2', 'FAS', 'STIM1', 'CD55']
liver	cholangiocytes	['MME', 'LEPR', 'LRP5', 'TLR9', 'CDH1', 'CD14', 'MSR1', 'CD163', 'HFE', 'CLEC1B', 'ICAM1', 'TLR4', 'CD38', 'AMBP', 'SLC15A3', 'FGFR4']
liver	endothelial cells	['HFE', 'CLEC1B', 'ICAM1', 'AMBP', 'SLC15A3', 'ITGB4', 'EPCAM', 'TACSTD2', 'MME', 'LEPR', 'TLR9', 'LRP5', 'CD14', 'SLC4A2', 'MSR1', 'GGT1', 'FGFR4', 'AQP1', 'GGT7', 'CD163', 'CDH1', 'ALPL', 'TLR4', 'CD38', 'JAG1']
liver	fibroblasts	['HFE', 'CLEC1B', 'ICAM1', 'AMBP', 'SLC15A3', 'ITGB4', 'EPCAM', 'TACSTD2', 'MME', 'LEPR', 'TLR9', 'LRP5', 'CD14', 'SLC4A2', 'MSR1', 'GGT1', 'FGFR4', 'AQP1', 'GGT7', 'CD163', 'CDH1', 'ALPL', 'TLR4', 'CD38', 'JAG1']
liver	smooth muscle cells	['HFE', 'CLEC1B', 'ICAM1', 'AMBP', 'SLC15A3', 'ITGB4', 'EPCAM', 'TACSTD2', 'MME', 'LEPR', 'TLR9', 'LRP5', 'CD14', 'SLC4A2', 'MSR1', 'GGT1', 'FGFR4', 'AQP1', 'GGT7', 'CD163', 'CDH1', 'ALPL', 'TLR4', 'CD38', 'JAG1']
liver	erythroid cells	['HFE', 'CLEC1B', 'ICAM1', 'AMBP', 'SLC15A3', 'ITGB4', 'EPCAM', 'TACSTD2', 'MME', 'LEPR', 'TLR9', 'LRP5', 'CD14', 'SLC4A2', 'MSR1', 'GGT1', 'FGFR4', 'AQP1', 'GGT7', 'CD163', 'CDH1', 'ALPL', 'TLR4', 'CD38', 'JAG1']
liver	kupffer cells	['MME', 'LEPR', 'AQP1', 'LRP5', 'SLC4A2', 'CDH1', 'EPCAM', 'GGT7', 'GGT1', 'TACSTD2', 'ALPL', 'ICAM1', 'AMBP', 'JAG1', 'ITGB4', 'FGFR4']
rectum	paneth cells	['ALCAM']
lung	alveolar cells type 1	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'DDR2', 'VIM', 'THY1', 'CD34', 'FAP', 'PDGFRB', 'PDGFRA']
lung	endothelial cells	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'GPRC5A', 'DDR2', 'P2RX7', 'VIM', 'THY1', 'ICAM1', 'CD34', 'PDGFRB', 'FAP', 'EMP2', 'PDGFRA']
lung	fibroblasts	['CD36', 'GPRC5A', 'P2RX7', 'ICAM1', 'EMP2']
lung	ciliated cells	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'GPRC5A', 'DDR2', 'P2RX7', 'VIM', 'THY1', 'ICAM1', 'CD34', 'PDGFRB', 'FAP', 'EMP2', 'PDGFRA']
lung	smooth muscle cells	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'GPRC5A', 'DDR2', 'P2RX7', 'VIM', 'THY1', 'ICAM1', 'CD34', 'PDGFRB', 'FAP', 'EMP2', 'PDGFRA']
lung	club cells	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'GPRC5A', 'DDR2', 'P2RX7', 'VIM', 'THY1', 'ICAM1', 'CD34', 'PDGFRB', 'FAP', 'EMP2', 'PDGFRA']
brain	inhibitory neurons	['ITGA6', 'PLXNB1', 'ITGA7', 'HLA-E', 'EVI2A', 'TYRO3', 'L1CAM', 'CPVL', 'THY1', 'S1PR1', 'PCDH15', 'MCAM', 'ITGB4', 'OPCML', 'LRRC8A', 'CA12', 'SEMA4D', 'PCDH9', 'TSPAN15', 'SLC14A1', 'PON2', 'CLU', 'ENTPD2', 'EPHB1', 'VIM', 'ERBB3', 'NPC1', 'PDGFRA', 'CDH13', 'CD80', 'FGFR3', 'NRP1', 'NTRK2', 'LRP1', 'CCR7', 'LRRN1', 'TMEM63A', 'CD40', 'GRIA2', 'ITGA1', 'SORCS2', 'ATP1B2', 'ABCA1', 'SLC15A2', 'CSPG4', 'CNTNAP2', 'F3', 'RTN4', 'HEPACAM', 'ALCAM', 'CD109', 'CXADR', 'RYR3', 'UGT8', 'S1PR5', 'SLC1A3', 'P2RX7', 'FGFR2', 'CD44', 'BACE1', 'EFNB3', 'SORL1', 'SLC6A11', 'CD86']
brain	microglial cells	['ITGA6', 'PLXNB1', 'ITGA7', 'HLA-E', 'EVI2A', 'TYRO3', 'L1CAM', 'CPVL', 'THY1', 'S1PR1', 'PCDH15', 'MCAM', 'ITGB4', 'OPCML', 'LRRC8A', 'CA12', 'SEMA4D', 'PCDH9', 'TSPAN15', 'SLC14A1', 'PON2', 'CLU', 'ENTPD2', 'EPHB1', 'VIM', 'ERBB3', 'NPC1', 'PDGFRA', 'CDH13', 'CD80', 'FGFR3', 'NRP1', 'NTRK2', 'LRP1', 'CCR7', 'LRRN1', 'TMEM63A', 'CD40', 'GRIA2', 'ITGA1', 'SORCS2', 'ATP1B2', 'ABCA1', 'SLC15A2', 'CSPG4', 'CNTNAP2', 'F3', 'RTN4', 'HEPACAM', 'ALCAM', 'CD109', 'CXADR', 'RYR3', 'UGT8', 'S1PR5', 'SLC1A3', 'P2RX7', 'FGFR2', 'CD44', 'BACE1', 'EFNB3', 'SORL1', 'SLC6A11', 'CD86']
brain	oligodendrocyte precursor cells	['ITGA6', 'PLXNB1', 'ITGA7', 'HLA-E', 'EVI2A', 'TYRO3', 'L1CAM', 'CPVL', 'THY1', 'S1PR1', 'PCDH15', 'MCAM', 'ITGB4', 'OPCML', 'LRRC8A', 'CA12', 'SEMA4D', 'PCDH9', 'TSPAN15', 'SLC14A1', 'PON2', 'CLU', 'ENTPD2', 'EPHB1', 'VIM', 'ERBB3', 'NPC1', 'PDGFRA', 'CDH13', 'CD80', 'FGFR3', 'NRP1', 'NTRK2', 'LRP1', 'CCR7', 'LRRN1', 'TMEM63A', 'CD40', 'GRIA2', 'ITGA1', 'SORCS2', 'ATP1B2', 'ABCA1', 'SLC15A2', 'CSPG4', 'CNTNAP2', 'F3', 'RTN4', 'HEPACAM', 'ALCAM', 'CD109', 'CXADR', 'RYR3', 'UGT8', 'S1PR5', 'SLC1A3', 'P2RX7', 'FGFR2', 'CD44', 'BACE1', 'EFNB3', 'SORL1', 'SLC6A11', 'CD86']
brain	oligodendrocytes	['ITGA6', 'PDGFRA', 'CD80', 'CCR7', 'ITGA1', 'SLC15A2', 'F3', 'SORL1', 'PLXNB1', 'ITGA7', 'HLA-E', 'L1CAM', 'ITGB4', 'SLC14A1', 'NRP1', 'ATP1B2', 'ABCA1', 'CD109', 'PCDH15', 'LRRC8A', 'CLU', 'ENTPD2', 'VIM', 'SORCS2', 'RYR3', 'SLC1A3', 'CD44', 'SLC6A11', 'CPVL', 'S1PR1', 'CA12', 'PON2', 'FGFR3', 'NTRK2', 'CD40', 'HEPACAM', 'LRP1', 'CD86']
brain	excitatory neurons	['ITGA6', 'PLXNB1', 'ITGA7', 'HLA-E', 'EVI2A', 'TYRO3', 'L1CAM', 'CPVL', 'THY1', 'S1PR1', 'PCDH15', 'MCAM', 'ITGB4', 'OPCML', 'LRRC8A', 'CA12', 'SEMA4D', 'PCDH9', 'TSPAN15', 'SLC14A1', 'PON2', 'CLU', 'ENTPD2', 'EPHB1', 'VIM', 'ERBB3', 'NPC1', 'PDGFRA', 'CDH13', 'CD80', 'FGFR3', 'NRP1', 'NTRK2', 'LRP1', 'CCR7', 'LRRN1', 'TMEM63A', 'CD40', 'GRIA2', 'ITGA1', 'SORCS2', 'ATP1B2', 'ABCA1', 'SLC15A2', 'CSPG4', 'CNTNAP2', 'F3', 'RTN4', 'HEPACAM', 'ALCAM', 'CD109', 'CXADR', 'RYR3', 'UGT8', 'S1PR5', 'SLC1A3', 'P2RX7', 'FGFR2', 'CD44', 'BACE1', 'EFNB3', 'SORL1', 'SLC6A11', 'CD86']
adipose tissue	smooth muscle cells	['EGFR', 'PKD2', 'THY1', 'AOC3', 'FAP', 'PDGFRB', 'ITGAL', 'TMEM26', 'FZD4', 'ENTPD2', 'PTCH1', 'ADAM12', 'LAMA2', 'VIM', 'MPZL1', 'THBS2', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'DDR2', 'CD40', 'CDH11', 'SCARA5', 'TLR2', 'COL6A2', 'PTPRC', 'HHIP', 'ADRB2', 'SLC1A5', 'CTSK', 'TLR4', 'CD44', 'CD55', 'DPEP1', 'NT5E', 'SLC2A4', 'LRP1', 'IL1R1']
adipose tissue	adipocytes	['PTCH1', 'PDGFRA', 'SCARA5', 'COL6A2', 'CTSK', 'DPEP1', 'FAP', 'PDGFRB', 'THBS2', 'DDR2', 'HHIP', 'CD55', 'IL1R1', 'ITGAL', 'ENTPD2', 'VIM', 'CDH11', 'CD44', 'PKD2', 'THY1', 'LAMA2', 'CD40', 'PTPRC', 'NT5E', 'LRP1']
adipose tissue	schwann cells	['EGFR', 'PKD2', 'THY1', 'AOC3', 'FAP', 'PDGFRB', 'ITGAL', 'TMEM26', 'FZD4', 'ENTPD2', 'PTCH1', 'ADAM12', 'LAMA2', 'VIM', 'MPZL1', 'THBS2', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'DDR2', 'CD40', 'CDH11', 'SCARA5', 'TLR2', 'COL6A2', 'PTPRC', 'HHIP', 'ADRB2', 'SLC1A5', 'CTSK', 'TLR4', 'CD44', 'CD55', 'DPEP1', 'NT5E', 'SLC2A4', 'LRP1', 'IL1R1']
immune	t-cells	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'KLRB1', 'LAIR1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'CD5', 'CD55', 'CLEC12A', 'FCER2', 'LILRB1', 'SELPLG', 'IL2RB', 'PCDH15', 'CLEC2D', 'ITGAL', 'NCR3', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'ACE', 'KLRC1', 'CD83', 'BST1', 'IL18R1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'CD86']
bronchus	basal respiratory cells	['SLC12A2', 'SLC9A7']
bronchus	ciliated cells	['SLC12A2', 'SLC9A7']
bronchus	smooth muscle cells	['SLC12A2', 'SLC9A7']
bronchus	club cells	['SLC12A2', 'SLC9A7']
vascular	endothelial cells	['PDGFRB']
vascular	fibroblasts	['DPP4', 'APLNR', 'PTPRB', 'CD82', 'CLEC1B', 'TGFBR2', 'RAMP3', 'TIE1', 'ICAM1', 'TEK', 'PDGFRB', 'MCAM', 'HSPG2', 'CLEC14A', 'PODXL', 'PROCR', 'STAB1', 'SLC7A5', 'ECE1', 'ICAM2', 'THSD1', 'FLT4', 'EMP1', 'VCAM1', 'TSPAN8', 'CD36', 'LIFR', 'ITGB3', 'ENG', 'THBD', 'SLC2A1', 'NRP2', 'AQP1', 'HYAL2', 'CALCRL', 'FLT1', 'PECAM1', 'NPR1', 'CDH5', 'CD55', 'CD34', 'SEMA7A', 'PLVAP']
vascular	schwann cells	['DPP4', 'APLNR', 'PTPRB', 'CD82', 'CLEC1B', 'TGFBR2', 'RAMP3', 'TIE1', 'ICAM1', 'TEK', 'PDGFRB', 'MCAM', 'HSPG2', 'CLEC14A', 'PODXL', 'PROCR', 'STAB1', 'SLC7A5', 'ECE1', 'ICAM2', 'THSD1', 'FLT4', 'EMP1', 'VCAM1', 'TSPAN8', 'CD36', 'LIFR', 'ITGB3', 'ENG', 'THBD', 'SLC2A1', 'NRP2', 'AQP1', 'HYAL2', 'CALCRL', 'FLT1', 'PECAM1', 'NPR1', 'CDH5', 'CD55', 'CD34', 'SEMA7A', 'PLVAP']
liver	hepatocytes	['AQP1', 'CD14', 'TLR9', 'CD163', 'EPCAM', 'MSR1', 'SLC4A2', 'GGT7', 'HFE', 'GGT1', 'CLEC1B', 'TACSTD2', 'ALPL', 'TLR4', 'CD38', 'JAG1', 'SLC15A3', 'ITGB4']
