cell,markers
esophagus fibroblasts,"['SIGLEC5', 'GGT1', 'TLR9', 'PCDHGC5', 'TPTE', 'SIGLEC12', 'PCDHA11', 'HTR1D', 'UGT1A9', 'KIR2DL3']"
esophagus schwann cells,"['L1CAM', 'PRNP', 'NCAM1', 'PLXNB3', 'SLITRK6', 'TMEFF1', 'IGSF1', 'SCN2B', 'GRIK3', 'SIGLEC5']"
esophagus smooth muscle cells,"['SIGLEC5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA11', 'KIR2DL3', 'UGT1A9', 'KIR3DL1', 'PCDHA6']"
esophagus squamous epithelial cells,"['DSC2', 'LYPD3', 'TACSTD2', 'MPZL2', 'CLCA2', 'ADRB2', 'EPHA1', 'ITPRIP', 'PROM2', 'SLC6A11']"
eye bipolar cells,"['AMIGO2', 'PLXDC1', 'KCNH2', 'NTNG1', 'SLC23A2', 'CADM3', 'IGSF1', 'ELFN2', 'GABRB3', 'SORCS2']"
eye cone photoreceptor cells,"['CHRNA3', 'ELFN1', 'CNNM4', 'SIGLEC5', 'PCDHGC5', 'GP5', 'TLR9', 'TPTE', 'TRHR', 'HTR1D']"
eye horizontal cells,"['SLC12A7', 'SLC29A4', 'BCAN', 'SCN2B', 'GFRA2', 'CACNA2D2', 'GABRA2', 'FAT3', 'ACHE', 'RET']"
eye muller glia cells,"['CLU', 'VIM', 'GPM6B', 'RTN4', 'ENO1', 'SLC1A3', 'SLITRK2', 'SLC2A1', 'SLC15A3', 'F3']"
eye rod photoreceptor cells,"['NTM', 'ATP1A3', 'SLC4A7', 'MFGE8', 'SLC6A6', 'PROM1', 'TRAC', 'NT5E', 'ABCA7', 'ATP6V0A1']"
fallopian tube ciliated cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'TLR9', 'TPTE', 'PCDHA6', 'HTR1D', 'PCDHGB1', 'GP5']"
fallopian tube endothelial cells,"['SIGLEC5', 'TLR9', 'PCDHA11', 'TPTE', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12']"
fallopian tube fibroblasts,"['AGTR2', 'IL17RB', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'PCDHA11', 'UGT1A9', 'KIR2DL3']"
fallopian tube lymphatic endothelial cells,"['FLT4', 'COLEC12', 'CALCRL', 'MRC1', 'LRRC15', 'TIE1', 'ITGA9', 'EFNA5', 'F2RL3', 'TNFRSF11A']"
fallopian tube neutrophils,"['FCGR3B', 'RNF149', 'PTPRC', 'CD55', 'IL1R2', 'SELL', 'VNN2', 'FCGR2A', 'PTGS2', 'MME']"
fallopian tube secretory cells,"['MSLN', 'PKHD1L1', 'CPM', 'VNN1', 'SLC15A2', 'CELSR2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR']"
fallopian tube smooth muscle cells,"['SLITRK3', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'UGT1A9', 'KIR2DL3', 'KIR3DL1']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SGCD', 'SLC5A1', 'CLCN6', 'SLC2A4', 'PARM1', 'ANO5', 'SLC38A1', 'FNDC5']"
heart muscle endothelial cells,"['TRHR', 'CEACAM8', 'SLC45A2', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA6', 'UGT1A9']"
heart muscle fibroblasts,"['CDH19', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'HTR1D', 'UGT1A9', 'KIR2DL3', 'PCDHA11', 'KIR3DL1']"
heart muscle smooth muscle cells,"['CD163', 'SIGLEC12', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'GP5', 'TPTE', 'PCDHA11', 'TMEFF1', 'KIR2DL3']"
immune b-cells,"['HLA-DPB1', 'IGHG4', 'MS4A1', 'CD79B', 'CD79A', 'LTB', 'CD37', 'LY9', 'FCER2', 'CD22']"
immune dendritic cells,"['SLC15A4', 'IL3RA', 'CXCR3', 'SEMA7A', 'EPHB1', 'SEL1L3', 'RET', 'ICOSLG', 'PLXNA4', 'KCNK17']"
immune granulocytes,"['KIT', 'SIGLEC6', 'CSF1', 'KIAA1549', 'KCNH2', 'NTRK1', 'CRLF2', 'HS6ST1', 'ATP6V0A2', 'IL5RA']"
immune macrophages,"['HLA-DRA', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQA1', 'HLA-DQB1', 'IL1R2', 'HLA-DRB5', 'CD163', 'MRC1', 'CD14']"
immune monocytes,"['LILRA5', 'PILRA', 'VNN1', 'LILRA1', 'LRRC25', 'CD86', 'ITGAX', 'SIGLEC5', 'PCDHA11', 'TRHR']"
immune nk-cells,"['KLRF1', 'KLRC1', 'CD160', 'S1PR5', 'FCRL6', 'KIR3DL1', 'KIR2DL3', 'NMUR1', 'SIGLEC5', 'PCDHA11']"
immune plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'TNFRSF17', 'CD38', 'CD79A', 'CD27', 'FCRL5', 'CLPTM1L']"
immune t-cells,"['IL7R', 'KLRB1', 'CD7', 'CD3D', 'TRAC', 'CD2', 'KLRF1', 'TIGIT', 'TRBV12-3', 'CD40LG']"
kidney collecting duct cells,"['CLU', 'L1CAM', 'AGRN', 'ERMP1', 'ITGB6', 'SLC45A4', 'TACSTD2', 'ERBB2', 'KITLG', 'GABRA2']"
kidney distal tubular cells,"['PTGER3', 'TYRP1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9', 'TPTE']"
kidney proximal tubular cells,"['GAPDH', 'DPEP1', 'FOLR1', 'LRP2', 'CDH6', 'VCAM1', 'ENPEP', 'ANPEP', 'IL17RB', 'THY1']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'PROM2', 'HHLA2', 'HTR1D', 'FREM2', 'SIGLEC5', 'ADORA1', 'PCDHGC5', 'PCDHA11']"
liver endothelial cells,"['KIR2DL3', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA6', 'KIR3DL1', 'CRLF2', 'TMEFF1']"
liver erythroid cells,"['TFRC', 'KCNH2', 'MINPP1', 'SLC22A16', 'SLC6A9', 'ACHE', 'KLRB1', 'CNR2', 'IL2RB', 'LY9']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'CD4', 'FCGR2B', 'IL13RA2', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA11']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'ELOVL6', 'SLC7A2', 'CD302', 'SCARB1', 'ENPP1', 'C11orf24', 'LEPR']"
liver kupffer cells,"['CD163', 'HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DPA1', 'FCGR3A', 'ITGB2', 'CD68', 'VCAM1', 'MSR1']"
liver smooth muscle cells,"['SELP', 'SIGLEC5', 'GP5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA11', 'TMEFF1', 'KIR3DL1']"
lung alveolar cells type 1,"['EMP2', 'GPRC5A', 'CEACAM6', 'SLC39A8', 'CD55', 'ITGA3', 'PLXNA1', 'ALPP', 'MSLN', 'ROR1']"
lung alveolar cells type 2,"['HHIP', 'CACNA2D2', 'ALPL', 'CD163', 'SLC6A14', 'SLC39A8', 'LRP2', 'FCGR3A', 'AGTR2', 'MSR1']"
lung ciliated cells,"['ANPEP', 'BACE1', 'ADORA1', 'SLC43A1', 'HHLA2', 'P2RX1', 'CACNG6', 'SIGLEC5', 'PCDHGC5', 'TRHR']"
lung club cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHA6', 'GP5', 'UGT1A9']"
lung endothelial cells,"['VIPR1', 'IL7R', 'SIGLEC5', 'TLR9', 'PCDHA11', 'TPTE', 'PCDHA6', 'PCDHGC5', 'SIGLEC12', 'NTSR1']"
lung fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'TPTE', 'UGT1A9', 'KIR2DL3', 'SIGLEC12', 'KIR3DL1', 'PCDHA11', 'HTR1D']"
lung smooth muscle cells,"['SIGLEC5', 'TLR9', 'TRHR', 'PCDHGC5', 'TPTE', 'TMEFF1', 'PCDHA11', 'KIR2DL3', 'UGT1A9', 'GP5']"
ovary endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'SLC6A2', 'KIR3DL1', 'NTSR1']"
ovary granulosa cells,"['SLC12A5', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TLR9', 'TMEFF1', 'TPTE', 'SIGLEC12']"
ovary lymphatic endothelial cells,"['FLT4', 'NRP2', 'TIE1', 'PKHD1L1', 'HYAL2', 'LRRC15', 'MRC1', 'ITGB4', 'UNC5B', 'PCDHGB4']"
ovary oocytes,"['ADCY9', 'ZP4', 'RPN2', 'ITGA4', 'MGAT5B', 'IL3RA', 'CHRNA3', 'CACNA2D2', 'SLC29A4', 'SLC29A1']"
ovary ovarian stromal cells,"['PDGFRA', 'CDH11', 'ABCA8', 'CD22', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'PCDHA11', 'TLR9']"
ovary smooth muscle cells,"['SIGLEC5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA11', 'GP5', 'UGT1A9', 'KIR2DL3', 'KIR3DL1']"
pancreas ductal cells,"['F3', 'CEACAM6', 'VNN1', 'VCAM1', 'TSPAN2', 'AMBP', 'VNN2', 'GGT1', 'EPHB2', 'TNFRSF21']"
pancreas endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'UGT1A9', 'PCDHA6', 'NTSR1', 'KIR3DL1', 'SIGLEC12']"
pancreas exocrine glandular cells,"['LTB', 'TSPAN1', 'ITGB6', 'ANPEP', 'ACHE', 'DPEP1', 'HHLA2', 'ANO9', 'SLC43A1', 'PCDHA10']"
pancreas fibroblasts,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'UGT1A9', 'KIR3DL1', 'PCDHA11', 'HTR1D', 'PCDHA6']"
pancreas pancreatic endocrine cells,"['KIR2DL3', 'KCNK17', 'SIGLEC5', 'IGSF1', 'PCDHGC5', 'TRHR', 'PCDHA11', 'SLC29A4', 'TLR9', 'GP5']"
pbmc platelets,"['TAGLN2', 'CLU', 'HLA-E', 'CLEC1B', 'ITGB3', 'HLA-B', 'ITGA2B', 'ACTN1', 'TBXA2R', 'ICAM2']"
placenta cytotrophoblasts,"['FOLR1', 'SIGLEC6', 'S1PR2', 'LRP2', 'MET', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'HTR1D']"
placenta endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'UGT1A9', 'PCDHA6', 'KIR3DL1', 'NTSR1', 'PCDHGB1']"
placenta extravillous trophoblasts,"['EFNA1', 'ABCA7', 'LY6K', 'SLCO4A1', 'ADAM12', 'ITGA5', 'IGSF8', 'IL2RB', 'CD276', 'ADAM19']"
placenta fibroblasts,"['CDH3', 'APLP1', 'GFRA2', 'FREM2', 'SEZ6L2', 'ITGB6', 'LRFN1', 'UNC5A', 'CELSR3', 'SIGLEC5']"
placenta hofbauer cells,"['CD74', 'CD14', 'HLA-DRA', 'HLA-DPA1', 'PLAUR', 'HLA-DPB1', 'GPNMB', 'CD36', 'HLA-DRB1', 'ITGB2']"
placenta smooth muscle cells,"['AREG', 'ENPP1', 'AGTR1', 'NID2', 'CADM3', 'HTR2B', 'IGDCC4', 'NTRK1', 'SIGLEC5', 'PCDHA6']"
placenta syncytiotrophoblasts,"['ST3GAL4', 'LYPD3', 'SLC38A9', 'CCR7', 'APMAP', 'SLC26A2', 'SLC19A1', 'SIGLEC6', 'SLC19A2', 'SEMA7A']"
prostate basal prostatic cells,"['PTGS2', 'ENPP3', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TLR9', 'TPTE', 'TMEFF1', 'SLC2A9']"
prostate club cells,"['SLC14A1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHA11', 'GP5', 'PCDHGB4']"
prostate endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'PCDHA6', 'KIR3DL1', 'HTR1D']"
prostate fibroblasts,"['SIGLEC5', 'PCDHA6', 'TLR9', 'TPTE', 'PCDHGC5', 'GP5', 'UGT1A9', 'KIR2DL3', 'SIGLEC12', 'KIR3DL1']"
prostate prostatic glandular cells,"['PMEPA1', 'SLC39A6', 'DPP4', 'NAAA', 'EPHA5', 'PCDHA11', 'SIGLEC5', 'SLC26A5', 'PCDHGC5', 'TRHR']"
prostate smooth muscle cells,"['SIGLEC5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA11', 'TMEFF1', 'GP5', 'KIR2DL3', 'UGT1A9']"
rectum distal enterocytes,"['SLC26A2', 'HHLA2', 'CLCN2', 'PARM1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5']"
rectum enteroendocrine cells,"['SLC29A4', 'APLP1', 'TMEM63C', 'AMIGO2', 'EFNB3', 'SDK2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR']"
rectum intestinal goblet cells,"['SLC12A2', 'ST3GAL4', 'DISP2', 'CACNA2D2', 'TSPAN13', 'P2RX4', 'C11orf24', 'FGFR2', 'FAM174B', 'PCDH20']"
rectum paneth cells,"['NOTCH2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TLR9', 'TPTE', 'TMEFF1']"
rectum undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9', 'HTR1D', 'GP5', 'TPTE', 'TMEFF1']"
salivary gland endothelial cells,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'SIGLEC12', 'TNFSF18', 'KIR3DL1']"
salivary gland fibroblasts,"['CR2', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'UGT1A9', 'HTR1D', 'TRHR', 'KIR2DL3']"
salivary gland mucus glandular cells,"['CD14', 'SLC6A14', 'PROM1', 'PCDHGC5', 'SIGLEC5', 'PCDHA11', 'PCDHA6', 'TLR9', 'TPTE', 'TRHR']"
salivary gland salivary duct cells,"['MUC16', 'SIGLEC5', 'PCDHA6', 'TLR9', 'PCDHGC5', 'TPTE', 'TRHR', 'TMEFF1', 'GP5', 'PCDHA11']"
salivary gland serous glandular cells,"['IL7R', 'IL1R2', 'PTPRC', 'FCGR3B', 'SORL1', 'FOLR1', 'VNN2', 'RNF149', 'CD69', 'FCGR2A']"
salivary gland smooth muscle cells,"['SIGLEC5', 'TLR9', 'TPTE', 'TRHR', 'GP5', 'PCDHGC5', 'TMEFF1', 'UGT1A9', 'SLC6A2', 'KIR2DL3']"
skeletal muscle endothelial cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHA6', 'UGT1A9', 'PCDHGB1', 'NTSR1', 'KIR3DL1']"
skeletal muscle fibroblasts,"['ENPP1', 'RET', 'SIGLEC5', 'TLR9', 'TPTE', 'SLC6A2', 'SIGLEC12', 'PCDHGC5', 'HTR1D', 'PCDHA11']"
skeletal muscle skeletal myocytes,"['ANO5', 'ACHE', 'CDH15', 'FREM2', 'CACNG6', 'SLC2A4', 'PCDHGA8', 'SIGLEC5', 'PCDHA11', 'PCDHA6']"
skeletal muscle smooth muscle cells,"['SIGLEC5', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'TRHR', 'TMEFF1', 'GP5', 'KIR2DL3', 'UGT1A9']"
skin basal keratinocytes,"['AREG', 'ITGA2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9', 'GP5', 'TPTE']"
skin endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'KIR3DL1', 'NTSR1', 'SIGLEC12']"
skin fibroblasts,"['LRRC15', 'SIGLEC5', 'TLR9', 'TPTE', 'SIGLEC12', 'PCDHGC5', 'HTR1D', 'UGT1A9', 'KIR2DL3', 'PCDHA11']"
skin langerhans cells,"['HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQB1', 'HLA-DQA1', 'PLAUR', 'CD83', 'HLA-DRB5']"
skin melanocytes,"['DCT', 'TYRP1', 'KIT', 'BCAN', 'PLXNC1', 'GPR155', 'SLC1A4', 'SLC6A15', 'GPM6B', 'SLITRK2']"
skin smooth muscle cells,"['ADRA2A', 'P2RX1', 'SIGLEC5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'GP5', 'PCDHA11', 'TMEFF1']"
skin suprabasal keratinocytes,"['KRT1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9', 'GP5', 'TPTE', 'TMEFF1']"
small intestine enteroendocrine cells,"['SLC29A4', 'TMEM63C', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9', 'TPTE']"
small intestine intestinal goblet cells,"['FGFR2', 'MST1R', 'FAM174B', 'TNFRSF25', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5']"
small intestine paneth cells,"['MSLN', 'ADRA2A', 'NOTCH2', 'CNTFR', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'CD74', 'HLA-DRA', 'ACE', 'SLC5A1', 'TSPAN8', 'HLA-DRB5', 'ATP1A1', 'ENPEP']"
small intestine undifferentiated cells,"['FGFRL1', 'SLC12A2', 'EPHB3', 'CACNA2D2', 'PDCD1', 'FGFR4', 'KCNE3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
stomach fibroblasts,"['PLVAP', 'SIGLEC5', 'TLR9', 'TPTE', 'TMEFF1', 'SIGLEC12', 'PCDHGC5', 'HTR1D', 'UGT1A9', 'KIR2DL3']"
stomach gastric mucus-secreting cells,"['SLC9A1', 'PLXNB2', 'MST1R', 'GOLM1', 'LAMA3', 'MUC4', 'ITGB4', 'SPPL2B', 'SLC45A4', 'KCNE3']"
testis early spermatids,"['TMC7', 'IL13RA2', 'SLC38A9', 'SIRPG', 'CLDN12', 'CD19', 'SLC44A5', 'SLC38A6', 'TLR3', 'FCRL5']"
testis endothelial cells,"['SIGLEC5', 'PCDHGC5', 'TLR9', 'PCDHA6', 'PCDHA11', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12', 'PCDH20']"
testis late spermatids,"['CXCL16', 'TSPAN6', 'MFAP3L', 'ACE', 'THBS3', 'MYL6B', 'TSPAN1', 'GOLM1', 'BACE1', 'GFRA2']"
testis leydig cells,"['ABCA8', 'ENTPD2', 'HHIP', 'AGTR1', 'FLRT2', 'PDGFRA', 'SCARA5', 'IGDCC4', 'SLITRK4', 'SIGLEC5']"
testis peritubular cells,"['DPEP1', 'ENG', 'F3', 'SIGLEC5', 'GP5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHGB4', 'TLR9']"
testis sertoli cells,"['PDGFRB', 'KCNH2', 'CSPG4', 'L1CAM', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TLR9', 'GP5']"
testis spermatocytes,"['LY6K', 'SLC2A5', 'GPR39', 'GLT8D1', 'SLC22A16', 'FAM174A', 'PCDH17', 'TPTE', 'SLC6A2', 'ABCA5']"
testis spermatogonia,"['CDH15', 'SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA6', 'CCR4', 'TLR9', 'GP5', 'PCDHA11', 'PCDHGB4']"
thymus endothelial cells,"['TMEFF1', 'SIGLEC5', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHA6', 'KIR3DL1', 'UGT1A9', 'NTSR1']"
thymus fibroblasts,"['MPZ', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'SIGLEC12', 'PCDHGC5', 'HTR1D', 'UGT1A9', 'KIR3DL1']"
thymus mesothelial cells,"['MSLN', 'SLC39A8', 'MUC16', 'PROCR', 'LRP2', 'RAET1G', 'PTGER3', 'EMB', 'ROR2', 'EFNB3']"
thymus smooth muscle cells,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'TPTE', 'TRHR', 'PCDHA11', 'GP5', 'UGT1A9', 'KIR3DL1', 'KIR2DL3']"
