Tissue	Cell type	Positive Gene Names
liver	cholangiocytes	['ITGB4', 'EPCAM', 'TACSTD2', 'SLC4A2', 'GGT1', 'AQP1', 'GGT7', 'ALPL', 'JAG1']
colon	enteroendocrine cells	['ALCAM']
vascular	endothelial cells	['CLEC1B', 'RAMP3', 'TGFBR2', 'TEK', 'PROCR', 'VCAM1', 'CD36', 'HYAL2', 'FLT1', 'PTPRB', 'CD82', 'ICAM1', 'HSPG2', 'STAB1', 'FLT4', 'TSPAN8', 'SLC2A1', 'NRP2', 'AQP1', 'CD55', 'CD34', 'SEMA7A', 'APLNR', 'TIE1', 'MCAM', 'CLEC14A', 'ECE1', 'THSD1', 'ITGB3', 'ENG', 'CALCRL', 'NPR1', 'CDH5', 'DPP4', 'PODXL', 'SLC7A5', 'ICAM2', 'EMP1', 'LIFR', 'THBD', 'PECAM1', 'PLVAP']
eye	cone photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
small intestine	enteroendocrine cells	['ALCAM']
small intestine	paneth cells	['IL4R', 'TLR9']
skin	langerhans cells	['HLA-DQA1', 'FCGR2A', 'HLA-DQA2', 'EPCAM', 'HLA-DQB2', 'CD80', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'HLA-DRB5', 'TLR2', 'GPNMB', 'PTPRC', 'TLR4', 'HLA-DRB1', 'FCGR1A', 'ACHE']
adipose tissue	adipocytes	['COL6A2', 'TLR4', 'EGFR', 'AOC3', 'FZD4', 'ADAM12', 'TNFRSF9', 'STEAP4', 'TMEM26', 'TLR2', 'ADRB2', 'MPZL1', 'SLC1A5', 'SLC2A4', 'LRP1']
pancreas	ductal cells	['AMBP', 'TACSTD2', 'TSPAN8', 'AQP1']
lung	alveolar cells type 1	['ICAM1', 'GPRC5A', 'EMP2', 'P2RX7']
testis	leydig cells	['PTCH1', 'THBS2', 'EDNRA', 'PLAUR']
ovary	granulosa cells	['GAPDH', 'MCAM']
breast	adipocytes	['COL6A2', 'TLR4', 'EGFR', 'AOC3', 'FZD4', 'ADAM12', 'TNFRSF9', 'STEAP4', 'TMEM26', 'TLR2', 'ADRB2', 'MPZL1', 'LRP1', 'SLC1A5', 'SLC2A4']
immune	macrophages	['CD163', 'SIGLEC1']
immune	b-cells	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'LAIR1', 'CR2', 'CD80', 'CD14', 'TLR9', 'CCR7', 'IGHG1', 'BTLA', 'SLAMF6', 'CD2', 'CD69', 'TNFRSF9', 'CD79B', 'MME', 'IGHG4', 'TNFRSF17', 'TNFRSF13B', 'CD5', 'CD55', 'FCER2', 'HLA-DRA', 'CD72', 'CD79A', 'MS4A1', 'CD38', 'BST1', 'IGHM', 'CD27', 'CD19', 'CD40', 'PTPRC', 'CD22', 'CD86']
pbmc	platelets	['ITGA6', 'CLEC1B', 'ITGA2B', 'CD36', 'SELP', 'ITGA2', 'LTBR', 'CD14', 'LRRC32', 'CD40LG', 'TLR4', 'CD48', 'CD69', 'CXCR1', 'TLR1', 'SCARB1', 'CCR4', 'CD109', 'ITGB1', 'SELPLG', 'CD84', 'FCGR2A', 'CD63', 'GP5', 'CD151', 'F2R', 'BSG', 'CD226', 'ADAM10', 'ITGB3', 'ESAM', 'HLA-A', 'PTGS2', 'CD47', 'HFE', 'F11R', 'ITGB2', 'CRLF2', 'LAMP2', 'ICAM2', 'CD40', 'ITGAV', 'PECAM1']
skin	melanocytes	['DCT', 'ENPP1', 'SLC45A2', 'CTNS', 'GPNMB', 'ATP1B1', 'TYRP1']
brain	oligodendrocytes	['TYRO3', 'CDH13', 'PDGFRA', 'UGT8', 'FGFR2', 'RTN4', 'ITGB4', 'SEMA4D', 'ERBB3', 'NPC1', 'GRIA2', 'P2RX7', 'S1PR5', 'BACE1', 'EFNB3', 'EVI2A', 'PCDH15', 'MCAM', 'OPCML', 'EPHB1', 'LRRN1', 'TMEM63A', 'CSPG4', 'CNTNAP2', 'CXADR', 'THY1', 'PCDH9', 'ALCAM', 'HEPACAM', 'TSPAN15']
immune	dendritic cells	['HLA-DQA1', 'CD1C', 'ITGAM', 'CR2', 'CD1B', 'SLAMF7', 'TLR9', 'CD14', 'CCR7', 'KIT', 'ITGAX', 'HLA-DPA1', 'BTLA', 'CXCL16', 'ITGAE', 'CXCR3', 'GPR132', 'P2RY10', 'HLA-B', 'HLA-DQB1', 'FLT3', 'FCGR3A', 'TLR3', 'ADAM19', 'CD180', 'HLA-DRA', 'HLA-A', 'HLA-DPB1', 'SIGLEC6', 'HLA-DRB1', 'DPP4', 'LY75', 'NAAA', 'HFE', 'CD83', 'CD28', 'AXL', 'FCGR2B', 'HLA-DRB5', 'SEMA4A', 'PTPRC', 'CD163', 'CD22', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'CD86']
immune	nk-cells	['CD244', 'KLRB1', 'KLRF1', 'ITGAM', 'SLAMF7', 'ITGA2', 'KIT', 'ITGAX', 'KLRG1', 'KIR3DL1', 'CD3G', 'SLAMF6', 'CD2', 'CD69', 'FCGR3A', 'LILRB1', 'IL2RB', 'PCDH15', 'CLEC2D', 'NCR3', 'CD7', 'DPP4', 'KLRC1', 'IL18R1', 'CD27', 'SIGLEC7', 'CD33', 'IL2RG']
breast	fibroblasts	['PDGFRA', 'THY1', 'ITGB1', 'PDGFRB']
stomach	fibroblasts	['THY1', 'FAP', 'PDGFRB', 'VIM', 'PDGFRA', 'CSPG4', 'COL6A2', 'ITGB1']
lung	fibroblasts	['THY1', 'PDGFRB', 'FAP', 'VIM', 'PDGFRA', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'CD163', 'CD34']
pancreas	fibroblasts	['THY1', 'FAP']
esophagus	fibroblasts	['VIM', 'THY1']
placenta	syncytiotrophoblasts	['CD63']
thymus	fibroblasts	['PDGFRA', 'FAP']
immune	granulocytes	['ITGAM']
skin	fibroblasts	['DPP4', 'THY1', 'APCDD1', 'FAP', 'MXRA8', 'VIM', 'PDGFRA', 'CD36', 'COL6A2']
heart muscle	fibroblasts	['PDGFRA', 'DDR2', 'THY1']
skeletal muscle	fibroblasts	['PDGFRA']
