cell,markers
breast smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'KIR2DL3', 'PCDHGC5', 'TRHR', 'UGT1A9', 'KIR2DS4', 'GP5']"
bronchus basal respiratory cells,"['CDH3', 'LAMA3', 'SLC2A9', 'S1PR5', 'THSD1', 'SDK2', 'RAET1G', 'CDH6', 'SIGLEC5', 'PCDHGC5']"
bronchus ciliated cells,"['MUC4', 'CHST6', 'MUC16', 'PROM1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1']"
bronchus club cells,"['SLC6A14', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'GP5']"
bronchus ionocytes,"['MSLN', 'PCDHA11', 'PCDHA6', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1', 'UGT1A9']"
bronchus smooth muscle cells,"['ITGB7', 'CDH2', 'PCDH19', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9']"
colon distal enterocytes,"['TSPAN1', 'TSPAN8', 'CEACAM1', 'ANPEP', 'HHLA2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR']"
colon enteroendocrine cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
colon intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
colon paneth cells,"['CEACAM6', 'CEACAM1', 'ST3GAL4', 'LAMA3', 'NPY1R', 'CEACAM8', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
colon undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
endometrium ciliated cells,"['ST3GAL6', 'ENPP3', 'PKHD1L1', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'TRHR', 'NTSR1', 'PCDHGC5', 'KIR3DL1']"
endometrium endometrial stromal cells,"['MME', 'PDGFRA', 'ADRA2C', 'APCDD1', 'SEMA5A', 'ENPP1', 'FAP', 'PCDH18', 'HTR2B', 'SDK1']"
endometrium endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA6', 'TPTE', 'PCDHGC5', 'PCDHA11']"
endometrium glandular and luminal cells,"['MET', 'ITGB8', 'GPRC5A', 'CDH1', 'SLC45A4', 'FREM2', 'MUC16', 'IL1RL2', 'ALPP', 'SIGLEC5']"
endometrium smooth muscle cells,"['PCDHGC5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHA11', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1', 'GP5']"
esophagus basal squamous epithelial cells,"['IL1R2', 'SLC7A1', 'SLC7A5', 'CDH3', 'SLC6A15', 'ITGB6', 'CD200R1', 'TNFSF18', 'SIGLEC5', 'PCDHGC5']"
esophagus endothelial cells,"['GP5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHA6', 'PCDHGC5']"
esophagus fibroblasts,"['SLC45A2', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'KIR2DL3', 'SLC6A2']"
esophagus schwann cells,"['PRNP', 'SCN7A', 'L1CAM', 'CHL1', 'NCAM1', 'GPR155', 'GPM6B', 'SLITRK6', 'SORCS1', 'GRIK3']"
esophagus smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9', 'NTSR1', 'TPTE', 'KIR2DL3']"
esophagus squamous epithelial cells,"['TACSTD2', 'LYPD3', 'DSC2', 'CLCA2', 'MPZL2', 'ADRB2', 'CA12', 'EPHA1', 'PROM2', 'EPHA2']"
eye bipolar cells,"['PLXDC1', 'KCNH2', 'APLP1', 'NTNG1', 'GABRB3', 'ELFN2', 'SORCS2', 'TSPAN9', 'LRFN1', 'SLITRK6']"
eye cone photoreceptor cells,"['CHRNA3', 'HEG1', 'PROM1', 'BACE1', 'CNNM4', 'EMB', 'SLC12A5', 'SLC6A6', 'ELFN1', 'MSR1']"
eye horizontal cells,"['CNTNAP2', 'GRIA2', 'SLC12A7', 'SLC29A4', 'GFRA2', 'DNER', 'CACNA2D2', 'PLXNA2', 'ACHE', 'GABRA2']"
eye muller glia cells,"['CLU', 'VIM', 'GPM6B', 'RTN4', 'ENO1', 'SLC1A3', 'SLC2A1', 'SLITRK2', 'SLC15A3', 'PMEPA1']"
eye rod photoreceptor cells,"['MFGE8', 'NTM', 'SLC4A7', 'SLC6A6', 'PROM1', 'TRAC', 'NT5E', 'PODXL', 'NMUR1', 'ABCA7']"
fallopian tube ciliated cells,"['FOLR1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'KIR3DL1', 'UGT1A9', 'NTSR1']"
fallopian tube endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHA6', 'PCDHGC5', 'TPTE']"
fallopian tube fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'PCDHA11', 'UGT1A9', 'NTSR1', 'KIR2DL3', 'TPTE', 'KIR2DS4']"
fallopian tube lymphatic endothelial cells,"['COLEC12', 'EMP1', 'AGTR2', 'EFNA5', 'PKHD1L1', 'F2RL3', 'LRRC15', 'ITGA9', 'UNC5A', 'RET']"
fallopian tube neutrophils,"['FCGR3B', 'PTPRC', 'RNF149', 'CD55', 'IL1R2', 'SELL', 'PTGS2', 'VNN2', 'PLAUR', 'SORL1']"
fallopian tube secretory cells,"['CLU', 'MSLN', 'NPR1', 'FOLR1', 'ITGB6', 'MUC16', 'CD22', 'CELSR2', 'EPHA1', 'SIGLEC5']"
fallopian tube smooth muscle cells,"['SLITRK3', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9', 'NTSR1', 'TPTE']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SLC5A1', 'ANO5', 'SLC38A1', 'SLC2A4', 'SGCD', 'CLCN6', 'PARM1', 'FNDC5']"
heart muscle endothelial cells,"['SLC14A1', 'TRHR', 'SLC45A2', 'CEACAM8', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1']"
heart muscle fibroblasts,"['CDH19', 'SCN7A', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'KIR2DL3']"
heart muscle smooth muscle cells,"['CD163', 'MSR1', 'SIGLEC12', 'SIGLEC1', 'CD6', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5']"
immune b-cells,"['MS4A1', 'CD79A', 'CD79B', 'CD37', 'FCER2', 'CD22', 'LTB', 'LY9', 'CD19', 'CXCR5']"
immune dendritic cells,"['IL3RA', 'CXCR3', 'SLC15A4', 'SEL1L3', 'TSPAN13', 'SELL', 'EPHB1', 'TNFRSF21', 'SEMA7A', 'SLC7A5']"
immune granulocytes,"['CD69', 'KIT', 'SIGLEC6', 'PTGS2', 'CPM', 'CSF1', 'TNFRSF9', 'KIAA1549', 'CD84', 'CD274']"
immune macrophages,"['CD14', 'MRC1', 'CD163', 'FCGR2A', 'MSR1', 'FCGR1A', 'OLR1', 'SIGLEC1', 'CLEC5A', 'PTAFR']"
immune monocytes,"['PLAUR', 'FCGR3A', 'LILRA5', 'PILRA', 'CD86', 'LRRC25', 'TLR2', 'ITGAX', 'CLEC12A', 'LILRA1']"
immune nk-cells,"['KLRB1', 'CD7', 'KLRF1', 'IL2RB', 'KLRC1', 'S1PR5', 'TRBC1', 'NCR3', 'FCRL6', 'CD96']"
immune plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'TNFRSF17', 'CD27', 'CD38', 'FCRL5', 'TNFRSF13B', 'SLAMF7']"
immune t-cells,"['IL7R', 'CD3D', 'CD3G', 'CD2', 'TRAC', 'TRBC1', 'CD6', 'CD96', 'CD28', 'CD5']"
kidney collecting duct cells,"['CLU', 'TACSTD2', 'ATP1B1', 'BCAM', 'L1CAM', 'AGRN', 'ITGB6', 'ERBB2', 'ERMP1', 'SLC38A1']"
kidney distal tubular cells,"['PTGER3', 'TYRP1', 'GPC5', 'IL1RL2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11']"
kidney proximal tubular cells,"['LRP2', 'DPEP1', 'ANPEP', 'VCAM1', 'IL17RB', 'CDH6', 'NPR3', 'ENPEP', 'GALNT11', 'SLC2A9']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'ADRA2A', 'FGFR4', 'APCDD1', 'SEZ6L2', 'ERBB3', 'PROM2', 'ABCB1', 'CDH6']"
liver endothelial cells,"['FCGR2B', 'STAB1', 'IGHG4', 'KIR2DL3', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHA11', 'PCDHA6']"
liver erythroid cells,"['IGHM', 'TFRC', 'KLRB1', 'KCNH2', 'SLC2A1', 'SLC22A16', 'SLC6A9', 'IL2RB', 'LY9', 'KLRF1']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'CD4', 'FCGR2B', 'MRC1', 'NPY1R', 'IL13RA2', 'RAMP3', 'CD79B', 'CD200R1']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'SLC7A2', 'ENPP1', 'C11orf24', 'SEMA4G', 'APMAP', 'VNN1', 'LEPR']"
liver kupffer cells,"['CD163', 'FCGR3A', 'ITGB2', 'CYBB', 'CD53', 'MSR1', 'VCAM1', 'CD68', 'EVI2A', 'IL1R2']"
liver smooth muscle cells,"['SELP', 'SLCO2A1', 'RAMP3', 'PKHD1L1', 'GP5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5']"
lung alveolar cells type 1,"['EMP2', 'CEACAM6', 'GPRC5A', 'SLC39A8', 'CD55', 'MSLN', 'ITGA3', 'SUSD2', 'ABCA7', 'PLXNA1']"
lung alveolar cells type 2,"['ALPL', 'HHIP', 'SLC6A14', 'CACNA2D2', 'LRP2', 'PLA2G3', 'ITGB6', 'CDH15', 'FREM2', 'ELFN2']"
lung ciliated cells,"['ANPEP', 'BACE1', 'ADORA1', 'HHLA2', 'P2RX1', 'CACNG6', 'SIGLEC5', 'GP5', 'FLT3', 'TRBV12-3']"
lung club cells,"['CLCA2', 'MSR1', 'PCDHA11', 'SIGLEC5', 'TRBV12-3', 'CD101', 'TLR9', 'TRHR', 'PCDHGC5', 'KIR3DL1']"
lung endothelial cells,"['IL7R', 'VIPR1', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'TPTE']"
lung fibroblasts,"['FGFR4', 'PCDHGC5', 'SIGLEC5', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'KIR2DL3', 'PCDHA11', 'TPTE']"
lung smooth muscle cells,"['KCNK17', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1', 'PCDHGC5', 'TPTE']"
ovary endothelial cells,"['SLC6A2', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHGC5', 'PCDHA6']"
ovary granulosa cells,"['CDH3', 'CHL1', 'CD22', 'SLC12A5', 'KCNH2', 'RTN4R', 'IGSF1', 'SEMA4G', 'SEMA7A', 'SLITRK4']"
ovary lymphatic endothelial cells,"['FLT4', 'TIE1', 'NRP2', 'ITGB4', 'MRC1', 'PKHD1L1', 'LRRC15', 'UNC5B', 'PCDHGB4', 'CD101']"
ovary oocytes,"['RPN2', 'ADCY9', 'ZP4', 'ITGA4', 'EPCAM', 'IL3RA', 'SLC29A1', 'MGAT5B', 'CHRNA3', 'CACNA2D2']"
ovary ovarian stromal cells,"['PDGFRA', 'CD22', 'CDH11', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'PCDHGA8', 'TLR9', 'TRHR', 'PCDHA6']"
ovary smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9', 'NTSR1', 'TPTE', 'KIR2DL3']"
pancreas ductal cells,"['TACSTD2', 'VNN1', 'VCAM1', 'CDCP1', 'VNN2', 'ADORA1', 'SIGLEC5', 'NCEH1', 'PCDHGC5', 'TRBV12-3']"
pancreas endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'TPTE']"
pancreas exocrine glandular cells,"['F3', 'ITGB6', 'HHLA2', 'ACHE', 'GGT1', 'SLC43A1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
pancreas fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'TPTE', 'KIR2DS4', 'SIGLEC12']"
pancreas pancreatic endocrine cells,"['TSPAN2', 'KCNK17', 'SLC29A4', 'KIR2DL3', 'IGSF1', 'TRAC', 'TMIGD2', 'CD72', 'SIGLEC5', 'PCDHGC5']"
pbmc platelets,"['TAGLN2', 'CLU', 'HLA-B', 'HLA-E', 'CLEC1B', 'ITGB3', 'ITGA2B', 'ACTN1', 'ICAM2', 'TBXA2R']"
placenta cytotrophoblasts,"['OLR1', 'FOLR1', 'LRP2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5']"
placenta endothelial cells,"['APLNR', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'PCDHA6', 'NTSR1', 'PCDHGC5']"
placenta extravillous trophoblasts,"['EFNA1', 'ADAM12', 'TAGLN2', 'ABCA7', 'ITGA5', 'SLCO4A1', 'LY6K', 'CD276', 'IGSF8', 'SLC39A8']"
placenta fibroblasts,"['APLP1', 'SIGLEC5', 'NTSR1', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'KIR2DL3', 'TPTE']"
placenta hofbauer cells,"['HLA-DRA', 'CD74', 'CD14', 'HLA-DRB1', 'HLA-DPB1', 'ITGB2', 'HLA-DPA1', 'PLAUR', 'HLA-DQB1', 'FCGR3A']"
placenta smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9', 'GP5', 'IGDCC4', 'S1PR5']"
placenta syncytiotrophoblasts,"['SLC2A1', 'ST3GAL4', 'LYPD3', 'SLC26A2', 'APMAP', 'SLC38A9', 'CCR7', 'SLC19A1', 'SIGLEC6', 'FLT1']"
prostate basal prostatic cells,"['PTGS2', 'ENPP3', 'ENPP1', 'KIAA1549', 'SLC2A9', 'SIGLEC5', 'KIR3DL1', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
prostate club cells,"['SLC14A1', 'FAM174B', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'HTR1D', 'TRHR', 'UGT1A9', 'NTSR1']"
prostate endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'PCDHA11', 'PCDHGC5', 'TPTE', 'KIR2DS4']"
prostate fibroblasts,"['ADRA2C', 'GPM6B', 'PCDHA6', 'GP5', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'UGT1A9', 'KIR3DL1', 'PCDHA11']"
prostate prostatic glandular cells,"['PMEPA1', 'SLC39A6', 'DPP4', 'EPHA5', 'PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR']"
prostate smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1', 'TPTE', 'KIR2DL3']"
rectum distal enterocytes,"['SLC26A2', 'PARM1', 'HHLA2', 'CLCN2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11']"
rectum enteroendocrine cells,"['AMIGO2', 'APLP1', 'SLC7A2', 'SDK2', 'THSD7A', 'IL17RB', 'EFNB3', 'IGHG4', 'TMEM63C', 'SIGLEC5']"
rectum intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'NTSR1']"
rectum paneth cells,"['CNR2', 'UGT1A9', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1']"
rectum undifferentiated cells,"['TLR9', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'NTSR1']"
salivary gland endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TPTE']"
salivary gland fibroblasts,"['SIGLEC5', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'KIR2DL3', 'PCDHGC5', 'TPTE', 'KIR2DS4', 'SIGLEC12']"
salivary gland mucus glandular cells,"['IGHA1', 'CD14', 'PROM1', 'SLC6A14', 'SLITRK6', 'TLR2', 'PCDHA11', 'PCDHGB1', 'PCDHGC5', 'SIGLEC5']"
salivary gland salivary duct cells,"['MUC16', 'ITGA2', 'ITGB4', 'MUC4', 'MET', 'CDH3', 'SLITRK6', 'EFNB3', 'SIGLEC5', 'TRBV12-3']"
salivary gland serous glandular cells,"['DNER', 'PLA2R1', 'DPP4', 'FNDC5', 'TSPAN33', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1']"
salivary gland smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1', 'SLC6A2', 'TPTE', 'KIR2DL3']"
skeletal muscle endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHA6', 'TPTE']"
skeletal muscle fibroblasts,"['RET', 'SIGLEC5', 'TLR9', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'PCDHGC5', 'KIR2DL3', 'TPTE']"
skeletal muscle skeletal myocytes,"['CDH15', 'ANO5', 'ACHE', 'FREM2', 'CACNG6', 'SLC2A4', 'SLC19A2', 'MYL6B', 'ITGA10', 'SGCD']"
skeletal muscle smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'TRHR', 'UGT1A9', 'GP5', 'NTSR1', 'PCDHA6']"
skin basal keratinocytes,"['AREG', 'ADRB2', 'ITGA2', 'CDCP1', 'PANX1', 'CXADR', 'NTSR1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3']"
skin endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'PCDHA6', 'PCDHGC5', 'NTSR1', 'TPTE']"
skin fibroblasts,"['LRRC15', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'KIR2DL3', 'TPTE', 'KIR2DS4']"
skin langerhans cells,"['HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQB1', 'HLA-DQA1', 'HLA-DRB5', 'PLAUR', 'CD83']"
skin melanocytes,"['DCT', 'TYRP1', 'GPM6B', 'KIT', 'BCAN', 'GPNMB', 'GPR155', 'PLXNC1', 'SLC1A4', 'SLC6A15']"
skin smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'TRHR', 'UGT1A9', 'GP5', 'TPTE', 'KIR2DL3']"
skin suprabasal keratinocytes,"['KRT1', 'LYPD3', 'CA12', 'CXADR', 'EMP2', 'PLA2G3', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
small intestine enteroendocrine cells,"['SLC29A4', 'CACNA2D1', 'TMEM63C', 'KIAA1549', 'PCDH20', 'PTGER3', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
small intestine intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
small intestine paneth cells,"['MSLN', 'ADRA2A', 'TRPC6', 'CNTFR', 'CD5', 'FCRL6', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'ACE', 'SLC5A1', 'ATP1A1', 'HLA-DRA', 'ENPEP', 'CD74', 'MME', 'HLA-DRB5']"
small intestine undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'UGT1A9', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6']"
stomach fibroblasts,"['PLVAP', 'CD68', 'SLAMF1', 'FCRL2', 'F2RL3', 'KCNK17', 'TRBV12-3', 'CCR4', 'TMEFF1', 'SIGLEC5']"
stomach gastric mucus-secreting cells,"['PLXNB2', 'SLC9A1', 'GOLM1', 'MST1R', 'TSPAN8', 'MUC4', 'LAMA3', 'ITGB4', 'SPPL2B', 'KCNE3']"
testis early spermatids,"['IL13RA2', 'TMC7', 'SLC38A9', 'SLC38A6', 'CLDN12', 'FCRL5', 'SLC44A5', 'SIRPG', 'CD19', 'TRAC']"
testis endothelial cells,"['PCDHGC5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA6', 'PCDHA11', 'KIR2DS4']"
testis late spermatids,"['CXCL16', 'MFAP3L', 'TSPAN6', 'THBS3', 'ACE', 'GOLM1', 'GFRA2', 'MYL6B', 'BACE1', 'SDK1']"
testis leydig cells,"['ABCA8', 'ENTPD2', 'PDGFRA', 'HHIP', 'FLRT2', 'AGTR1', 'SCARA5', 'NEGR1', 'IGDCC4', 'SLITRK4']"
testis peritubular cells,"['DPEP1', 'ENG', 'F3', 'PTCH1', 'PDGFRA', 'TMEM30B', 'ENPP1', 'MRGPRF', 'TSPAN33', 'HTR2B']"
testis sertoli cells,"['PDGFRB', 'CPM', 'KCNH2', 'CSPG4', 'L1CAM', 'ENPEP', 'GPC1', 'SCN4B', 'ADORA1', 'S1PR3']"
testis spermatocytes,"['LY6K', 'SLC22A16', 'SLC2A5', 'TPTE', 'SLC6A2', 'SIGLEC5', 'PCDHA11', 'TRBV12-3', 'TLR9', 'PCDHA6']"
testis spermatogonia,"['CDH15', 'CCR4', 'RET', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHGC5', 'KIR3DL1', 'UGT1A9']"
thymus endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHGC5', 'TMEFF1', 'PCDHA6']"
thymus fibroblasts,"['IGHG1', 'PCDHA11', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'TRHR', 'NTSR1', 'KIR2DL3']"
thymus mesothelial cells,"['MSLN', 'SLC39A8', 'PROCR', 'MUC16', 'AQP1', 'PKHD1L1', 'LRP2', 'EMB', 'RAET1G', 'TSPAN3']"
