cell,markers
bronchus ionocytes,"['PCDHA11', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5']"
bronchus smooth muscle cells,"['ITGB7', 'PCDH19', 'SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'TPTE', 'TMEFF1', 'GP5', 'PCDHA11']"
colon distal enterocytes,"['SLC26A2', 'TSPAN8', 'TSPAN1', 'CEACAM1', 'BSG', 'ANPEP', 'CEACAM6', 'EMP1', 'HHLA2', 'GPRC5A']"
colon enteroendocrine cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
colon intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
colon paneth cells,"['CEACAM8', 'NPY1R', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TPTE', 'TMEFF1']"
colon undifferentiated cells,"['DCBLD2', 'KITLG', 'NTSR1', 'LRFN1', 'ELFN2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR']"
endometrium ciliated cells,"['SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHA6', 'SIGLEC12', 'TNFSF18', 'UGT1A9']"
endometrium endometrial stromal cells,"['MME', 'APCDD1', 'PTCH1', 'PDGFRA', 'MXRA8', 'ADRA2C', 'HTR2B', 'CDH11', 'GABRA2', 'SEMA5A']"
endometrium endothelial cells,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'NTSR1', 'SIGLEC12', 'KIR3DL1']"
endometrium glandular and luminal cells,"['CLU', 'IL6ST', 'SLC26A2', 'CPM', 'ENPP3', 'MUC16', 'PLAUR', 'SLC39A14', 'SLC7A2', 'DPP4']"
endometrium smooth muscle cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'TLR9', 'TPTE', 'GP5', 'UGT1A9', 'PCDHA6', 'KIR2DL3']"
esophagus basal squamous epithelial cells,"['IL1R2', 'SLC7A1', 'SLC7A5', 'CDH3', 'SLC6A15', 'TNFSF18', 'CD200R1', 'SIGLEC5', 'PCDHGC5', 'PCDHA6']"
esophagus endothelial cells,"['GP5', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHA6', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'SIGLEC12']"
esophagus fibroblasts,"['TNFRSF21', 'GGT1', 'SIGLEC5', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'SIGLEC12', 'HTR1D', 'UGT1A9']"
esophagus schwann cells,"['L1CAM', 'PRNP', 'CHL1', 'NCAM1', 'GPR155', 'SLITRK6', 'PLXNB3', 'GRIK3', 'IGSF1', 'TMEFF1']"
esophagus smooth muscle cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'KIR2DL3', 'UGT1A9', 'PCDHA6', 'KIR3DL1']"
esophagus squamous epithelial cells,"['TACSTD2', 'DSC2', 'LYPD3', 'MPZL2', 'CLCA2', 'ADRB2', 'ITPRIP', 'EPHA1', 'PROM2', 'SLC6A11']"
eye bipolar cells,"['AMIGO2', 'PLXDC1', 'KCNH2', 'NTNG1', 'SLC23A2', 'CADM3', 'GABRB3', 'APLP1', 'IGSF1', 'ELFN2']"
eye cone photoreceptor cells,"['CHRNA3', 'CNNM4', 'HEG1', 'ELFN1', 'BACE1', 'SIGLEC5', 'PCDHGC5', 'GP5', 'TLR9', 'TPTE']"
eye horizontal cells,"['SLC12A7', 'SLC29A4', 'BCAN', 'GFRA2', 'SCN2B', 'CACNA2D2', 'GABRA2', 'ACHE', 'FAT3', 'RET']"
eye muller glia cells,"['CLU', 'VIM', 'RTN4', 'GPM6B', 'ENO1', 'SLC1A3', 'SLITRK2', 'SLC2A1', 'SLC15A3', 'F3']"
eye rod photoreceptor cells,"['NTM', 'ATP1A3', 'SLC4A7', 'MFGE8', 'SLC6A6', 'PROM1', 'ATP6V0A1', 'SEZ6L2', 'TRAC', 'ABCA7']"
fallopian tube ciliated cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'TLR9', 'PCDHA6', 'TPTE', 'GP5', 'HTR1D', 'PCDHGB1']"
fallopian tube endothelial cells,"['SIGLEC5', 'TLR9', 'PCDHA11', 'TPTE', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12']"
fallopian tube fibroblasts,"['AGTR2', 'IL17RB', 'ADRA2C', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA11', 'SIGLEC12', 'ELFN2']"
fallopian tube lymphatic endothelial cells,"['LRRC15', 'F2RL3', 'COLEC12', 'EFNA5', 'ITGA9', 'TNFRSF11A', 'UNC5A', 'FLT4', 'TMEFF1', 'SIGLEC5']"
fallopian tube neutrophils,"['FCGR3B', 'RNF149', 'PTPRC', 'CD55', 'IL1R2', 'SELL', 'VNN2', 'PTGS2', 'FCGR2A', 'SORL1']"
fallopian tube secretory cells,"['MSLN', 'PKHD1L1', 'CPM', 'VNN1', 'SLC15A2', 'CELSR2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR']"
fallopian tube smooth muscle cells,"['SLITRK3', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'UGT1A9', 'KIR2DL3', 'KIR3DL1']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SGCD', 'SLC5A1', 'CLCN6', 'SLC2A4', 'PARM1', 'SLC38A1', 'ANO5', 'ITGA7']"
heart muscle endothelial cells,"['SLC14A1', 'TRHR', 'CEACAM8', 'SLC45A2', 'SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6']"
heart muscle fibroblasts,"['CDH19', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'HTR1D', 'PCDHA11', 'UGT1A9', 'KIR2DL3', 'KIR3DL1']"
heart muscle smooth muscle cells,"['CD163', 'SIGLEC12', 'SIGLEC5', 'MSR1', 'PCDHGC5', 'TLR9', 'PCDHA11', 'GP5', 'TPTE', 'TMEFF1']"
immune b-cells,"['HLA-DPB1', 'IGHG4', 'MS4A1', 'IGHM', 'LTB', 'CD79B', 'CD79A', 'CD37', 'LY9', 'FCER2']"
immune dendritic cells,"['SLC15A4', 'CXCR3', 'IL3RA', 'SEMA7A', 'SEL1L3', 'EPHB1', 'RET', 'ICOSLG', 'PLXNA4', 'KCNK17']"
immune granulocytes,"['KIT', 'SIGLEC6', 'CSF1', 'KIAA1549', 'KCNH2', 'NTRK1', 'ATP6V0A2', 'HS6ST1', 'CRLF2', 'IL5RA']"
immune macrophages,"['HLA-DRA', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQA1', 'HLA-DQB1', 'IL1R2', 'HLA-DRB5', 'CD163', 'MRC1', 'CD14']"
immune monocytes,"['LILRA5', 'PILRA', 'VNN1', 'CD86', 'LILRA1', 'ITGAX', 'LRRC25', 'TLR2', 'SIGLEC5', 'PCDHA11']"
immune nk-cells,"['KLRF1', 'KLRC1', 'CD160', 'S1PR5', 'FCRL6', 'KIR3DL1', 'NMUR1', 'KIR2DL3', 'CD226', 'SIGLEC5']"
immune plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'TNFRSF17', 'CD79A', 'CD38', 'CD27', 'FCRL5', 'CLPTM1L']"
immune t-cells,"['IL7R', 'KLRB1', 'CD7', 'CD3D', 'TRAC', 'CD2', 'KLRF1', 'TIGIT', 'TRBV12-3', 'TRBC1']"
kidney collecting duct cells,"['CLU', 'L1CAM', 'AGRN', 'ERMP1', 'ITGB6', 'ERBB2', 'TACSTD2', 'SLC45A4', 'KITLG', 'GABRA2']"
kidney distal tubular cells,"['PTGER3', 'TYRP1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9', 'TPTE']"
kidney proximal tubular cells,"['GAPDH', 'DPEP1', 'FOLR1', 'LRP2', 'CDH6', 'VCAM1', 'ENPEP', 'ANPEP', 'IL17RB', 'THY1']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'PROM2', 'HHLA2', 'HTR1D', 'FGFR4', 'FREM2', 'ADORA1', 'SIGLEC5', 'PCDHGC5']"
liver endothelial cells,"['FCGR2B', 'KIR2DL3', 'SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6', 'KIR3DL1', 'TMEFF1']"
liver erythroid cells,"['KCNH2', 'TFRC', 'SLC22A16', 'SLC6A9', 'KLRB1', 'CNR2', 'ACHE', 'IL2RB', 'SIGLEC5', 'PCDHGC5']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'CD4', 'FCGR2B', 'IL13RA2', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA11']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'ELOVL6', 'CD302', 'SLC7A2', 'SCARB1', 'LEPR', 'APMAP', 'ENPP1']"
liver kupffer cells,"['CD163', 'HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DPA1', 'FCGR3A', 'ITGB2', 'VCAM1', 'CD68', 'MSR1']"
liver smooth muscle cells,"['SELP', 'SIGLEC5', 'GP5', 'TRHR', 'PCDHGC5', 'TLR9', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHA6']"
lung alveolar cells type 1,"['EMP2', 'GPRC5A', 'CEACAM6', 'CD55', 'SLC39A8', 'ITGA3', 'MSLN', 'PLXNA1', 'ALPP', 'ROR1']"
lung alveolar cells type 2,"['HHIP', 'CACNA2D2', 'ALPL', 'CD163', 'SLC39A8', 'SLC6A14', 'LRP2', 'FCGR3A', 'AGTR2', 'MSR1']"
lung ciliated cells,"['ANPEP', 'BACE1', 'ADORA1', 'SLC43A1', 'HHLA2', 'P2RX1', 'CACNG6', 'SIGLEC5', 'PCDHGC5', 'GP5']"
lung club cells,"['CLCA2', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHA6', 'GP5']"
lung endothelial cells,"['IL7R', 'VIPR1', 'SIGLEC5', 'TLR9', 'PCDHA11', 'PCDHA6', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'NTSR1']"
lung fibroblasts,"['SIGLEC5', 'PCDHGC5', 'TLR9', 'TPTE', 'UGT1A9', 'KIR2DL3', 'PCDHA11', 'SIGLEC12', 'KIR3DL1', 'HTR1D']"
lung smooth muscle cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'TMEFF1', 'GP5', 'KIR2DL3', 'UGT1A9']"
ovary endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6', 'SLC6A2', 'UGT1A9', 'SIGLEC12', 'KIR3DL1']"
ovary granulosa cells,"['CDH3', 'SLC12A5', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'TRHR', 'TLR9', 'TMEFF1', 'TPTE']"
ovary lymphatic endothelial cells,"['FLT4', 'TIE1', 'LRRC15', 'ITGB4', 'PCDHGB4', 'SLC26A5', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11']"
ovary oocytes,"['ADCY9', 'RPN2', 'ZP4', 'ITGA4', 'MGAT5B', 'IL3RA', 'CHRNA3', 'CACNA2D2', 'SLC29A1', 'SLC29A4']"
ovary ovarian stromal cells,"['PDGFRA', 'BST2', 'CDH11', 'ABCA8', 'CD22', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'PCDHA11']"
ovary smooth muscle cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'GP5', 'UGT1A9', 'KIR2DL3', 'PCDHA6']"
pancreas ductal cells,"['F3', 'CEACAM6', 'VNN1', 'VCAM1', 'TSPAN2', 'AMBP', 'GGT1', 'VNN2', 'TNFRSF21', 'EPHB2']"
pancreas endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12']"
pancreas exocrine glandular cells,"['LTB', 'TSPAN1', 'ITGB6', 'ANPEP', 'ACHE', 'DPEP1', 'HHLA2', 'ANO9', 'CPM', 'SLC43A1']"
pancreas fibroblasts,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'PCDHA11', 'UGT1A9', 'PCDHA6', 'KIR3DL1', 'HTR1D']"
pancreas pancreatic endocrine cells,"['KIR2DL3', 'KCNK17', 'SLC29A4', 'IGSF1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TLR9', 'GP5']"
pbmc platelets,"['TAGLN2', 'CLU', 'HLA-E', 'CLEC1B', 'ITGB3', 'HLA-B', 'ITGA2B', 'ACTN1', 'TBXA2R', 'ICAM2']"
placenta cytotrophoblasts,"['FOLR1', 'SIGLEC6', 'S1PR2', 'BCAM', 'LRP2', 'MET', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR']"
placenta endothelial cells,"['APLNR', 'SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6', 'UGT1A9', 'KIR3DL1', 'NTSR1']"
placenta extravillous trophoblasts,"['EFNA1', 'ABCA7', 'TAGLN2', 'LY6K', 'ADAM12', 'SLCO4A1', 'ITGA5', 'IGSF8', 'CD276', 'IL2RB']"
placenta fibroblasts,"['CDH3', 'APLP1', 'SEZ6L2', 'GFRA2', 'FREM2', 'ITGB6', 'LRFN1', 'CELSR3', 'CADM4', 'UNC5A']"
placenta hofbauer cells,"['CD74', 'CD14', 'HLA-DRA', 'PLAUR', 'HLA-DPA1', 'HLA-DPB1', 'CD36', 'GPNMB', 'HLA-DRB1', 'ITGB2']"
placenta smooth muscle cells,"['AREG', 'AGTR1', 'ENPP1', 'NID2', 'CADM3', 'HTR2B', 'KCNK17', 'CNTFR', 'IGDCC4', 'NTRK1']"
placenta syncytiotrophoblasts,"['ST3GAL4', 'LYPD3', 'SLC38A9', 'APMAP', 'CCR7', 'SLC26A2', 'SLC19A1', 'SLC2A1', 'SIGLEC6', 'SLC19A2']"
prostate basal prostatic cells,"['PTGS2', 'ENPP3', 'SLC2A9', 'ENPP1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TLR9', 'TPTE']"
prostate club cells,"['SLC14A1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'PCDHA11', 'TPTE', 'TMEFF1', 'HTR1D', 'GP5']"
prostate endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'UGT1A9', 'PCDHA6', 'NTSR1', 'HTR1D', 'KIR3DL1']"
prostate fibroblasts,"['SIGLEC5', 'PCDHA6', 'TLR9', 'TPTE', 'PCDHGC5', 'GP5', 'PCDHA11', 'UGT1A9', 'KIR2DL3', 'SIGLEC12']"
prostate prostatic glandular cells,"['PMEPA1', 'SLC39A6', 'DPP4', 'NAAA', 'EPHA5', 'SLC26A5', 'PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRHR']"
prostate smooth muscle cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'TMEFF1', 'GP5', 'KIR2DL3', 'UGT1A9']"
rectum distal enterocytes,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
rectum enteroendocrine cells,"['APLP1', 'EFNB3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TLR9', 'TPTE']"
rectum intestinal goblet cells,"['CACNA2D2', 'DISP2', 'PCDH20', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'PCDHA11', 'TRHR', 'GP5', 'TLR9']"
rectum paneth cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHGB4']"
rectum undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4']"
salivary gland endothelial cells,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'SIGLEC12', 'TNFSF18', 'HTR1D']"
salivary gland fibroblasts,"['CR2', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'TRHR', 'SIGLEC12', 'HTR1D', 'UGT1A9', 'PCDHA11']"
salivary gland mucus glandular cells,"['CD14', 'PROM1', 'SLC6A14', 'PCDHGC5', 'SIGLEC5', 'PCDHA11', 'PCDHA6', 'TLR9', 'TRHR', 'TPTE']"
salivary gland salivary duct cells,"['MUC16', 'SIGLEC5', 'PCDHA6', 'PCDHGC5', 'TLR9', 'TRHR', 'TPTE', 'GP5', 'TMEFF1', 'PCDHA11']"
salivary gland serous glandular cells,"['IL7R', 'IL1R2', 'PTPRC', 'FCGR3B', 'SORL1', 'FOLR1', 'VNN2', 'RNF149', 'CD69', 'DNER']"
salivary gland smooth muscle cells,"['SIGLEC5', 'TLR9', 'TPTE', 'TRHR', 'PCDHGC5', 'GP5', 'TMEFF1', 'SLC6A2', 'UGT1A9', 'PCDHA11']"
skeletal muscle endothelial cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHA6', 'PCDHGB1', 'UGT1A9', 'NTSR1', 'SIGLEC12']"
skeletal muscle fibroblasts,"['ENPP1', 'RET', 'FNDC5', 'CDH15', 'SIGLEC5', 'SLC6A2', 'TLR9', 'TPTE', 'PCDHGC5', 'PCDHA11']"
skeletal muscle skeletal myocytes,"['ANO5', 'ACHE', 'CDH15', 'FREM2', 'CACNG6', 'SLC2A4', 'PCDHGA8', 'SIGLEC5', 'PCDHA11', 'PCDHA6']"
skeletal muscle smooth muscle cells,"['SIGLEC5', 'PCDHGC5', 'TLR9', 'TPTE', 'PCDHA11', 'TRHR', 'TMEFF1', 'PCDHA6', 'GP5', 'KIR2DL3']"
skin basal keratinocytes,"['AREG', 'ITGA2', 'ADRB2', 'SIGLEC5', 'PANX1', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9']"
skin endothelial cells,"['SIGLEC5', 'PCDHA11', 'TLR9', 'PCDHGC5', 'TPTE', 'PCDHA6', 'UGT1A9', 'SIGLEC12', 'KIR3DL1', 'NTSR1']"
skin fibroblasts,"['LRRC15', 'CD70', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'HTR1D', 'PCDHA11', 'UGT1A9']"
skin langerhans cells,"['HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQB1', 'HLA-DQA1', 'PLAUR', 'CD83', 'HLA-DRB5']"
skin melanocytes,"['DCT', 'TYRP1', 'KIT', 'BCAN', 'GPR155', 'PLXNC1', 'GPM6B', 'SLC1A4', 'SLC6A15', 'SLITRK2']"
skin smooth muscle cells,"['ADRA2A', 'P2RX1', 'PGAP1', 'SIGLEC5', 'TRHR', 'PCDHGC5', 'TLR9', 'PCDHA11', 'TPTE', 'GP5']"
skin suprabasal keratinocytes,"['KRT1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TLR9', 'GP5', 'TPTE', 'TMEFF1']"
small intestine enteroendocrine cells,"['SLC29A4', 'TMEM63C', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9', 'TPTE']"
small intestine intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'GP5', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHGB4']"
small intestine paneth cells,"['MSLN', 'ADRA2A', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9', 'TPTE']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'CD74', 'HLA-DRA', 'TSPAN8', 'ACE', 'SLC5A1', 'HLA-B', 'HLA-DRB5', 'ATP1A1']"
small intestine undifferentiated cells,"['FGFRL1', 'PDCD1', 'CACNA2D2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TLR9']"
stomach fibroblasts,"['PLVAP', 'SIGLEC5', 'TLR9', 'TMEFF1', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'HTR1D', 'PCDHA11', 'UGT1A9']"
stomach gastric mucus-secreting cells,"['SLC9A1', 'PLXNB2', 'MST1R', 'GOLM1', 'LAMA3', 'MUC4', 'ITGB4', 'SPPL2B', 'SLC45A4', 'KCNE3']"
testis early spermatids,"['IL13RA2', 'TMC7', 'SLC38A9', 'SIRPG', 'CLDN12', 'SLC38A6', 'CD19', 'SLC44A5', 'TLR3', 'FCRL5']"
testis endothelial cells,"['SIGLEC5', 'PCDHGC5', 'TLR9', 'PCDHA6', 'PCDHA11', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12', 'TNFSF18']"
testis late spermatids,"['CXCL16', 'TSPAN6', 'MFAP3L', 'ACE', 'THBS3', 'MYL6B', 'TSPAN1', 'GOLM1', 'BACE1', 'GFRA2']"
testis leydig cells,"['ABCA8', 'ENTPD2', 'HHIP', 'PDGFRA', 'AGTR1', 'FLRT2', 'SCARA5', 'IGDCC4', 'SLITRK4', 'SIGLEC5']"
testis peritubular cells,"['DPEP1', 'ENG', 'F3', 'SIGLEC5', 'GP5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHGB4', 'TLR9']"
testis sertoli cells,"['PDGFRB', 'KCNH2', 'CSPG4', 'L1CAM', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TLR9', 'GP5']"
testis spermatocytes,"['LY6K', 'SLC2A5', 'GLT8D1', 'GPR39', 'FAM174A', 'SLC22A16', 'PCDH17', 'ABCA5', 'TPTE', 'DYNC2H1']"
testis spermatogonia,"['CDH15', 'SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA6', 'CCR4', 'TLR9', 'GP5', 'PCDHA11', 'PCDHGB4']"
thymus endothelial cells,"['TMEFF1', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TLR9', 'PCDHA11', 'TPTE', 'KIR3DL1', 'UGT1A9', 'NTSR1']"
thymus fibroblasts,"['MPZ', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12', 'HTR1D', 'TRHR', 'UGT1A9']"
thymus mesothelial cells,"['MSLN', 'SLC39A8', 'MUC16', 'PROCR', 'LRP2', 'RAET1G', 'PTGER3', 'EMB', 'ROR2', 'CDON']"
thymus smooth muscle cells,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'TPTE', 'TRHR', 'PCDHA11', 'GP5', 'UGT1A9', 'PCDHA6', 'KIR3DL1']"
