cell,markers
colon t-cells,"['KLRB1', 'CD7', 'TRBC1', 'CD3D', 'TRAC', 'CD96', 'CLEC2D', 'GPR65', 'TMIGD2', 'TIGIT']"
fallopian tube smooth muscle cells,"['MCAM', 'CSPG4', 'ITGA7', 'NTRK2', 'MRGPRF', 'SUSD5', 'NTRK3', 'SLC2A4', 'AOC3', 'PTGIR']"
lung alveolar cells type 2,"['HHIP', 'CACNA2D2', 'ALPL', 'SLC6A14', 'LRP2', 'AGTR2', 'ITGB6', 'PLA2G3', 'CDH15', 'FREM2']"
salivary gland plasma cells,"['IGHA1', 'IGHM', 'TNFRSF17', 'FCRL5', 'CD27', 'SLAMF7', 'IL5RA', 'SIGLEC5', 'PCDHA6', 'TPTE']"
brain astrocytes,"['GPC5', 'SLC1A3', 'FGFR3', 'SLC14A1', 'GABRA2', 'CACHD1', 'ATP1B2', 'SLC15A2', 'HEPACAM', 'SMO']"
bronchus ciliated cells,"['CHST6', 'MUC4', 'DYNC2H1', 'MUC16', 'PROM1', 'CELSR1', 'CACNG6', 'IL5RA', 'SIGLEC5', 'PCDHGC5']"
colon undifferentiated cells,"['DCBLD2', 'KITLG', 'NTSR1', 'ELFN2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'HTR1D']"
kidney b-cells,"['IGHM', 'CD79B', 'LTB', 'CD79A', 'MS4A1', 'FCER2', 'CD19', 'BTLA', 'CD180', 'CXCR5']"
breast smooth muscle cells,"['MCAM', 'ITGA7', 'SUSD5', 'AOC3', 'EDNRA', 'CDH6', 'MRGPRF', 'SIGLEC5', 'TRHR', 'PCDHGC5']"
kidney collecting duct cells,"['CLU', 'L1CAM', 'ITGB6', 'AGRN', 'ERMP1', 'GABRA2', 'KITLG', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
prostate smooth muscle cells,"['MCAM', 'SUSD5', 'CSPG4', 'ADRA2A', 'SLC7A2', 'MRGPRF', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11']"
salivary gland t-cells,"['CCR7', 'CD28', 'SIGLEC5', 'GP5', 'CCR4', 'PCDHA6', 'TPTE', 'PCDHGC5', 'TRHR', 'TMEFF1']"
thymus plasma cells,"['IGHG1', 'IGHG2', 'IGHM', 'IGHA1', 'IGHG4', 'TNFRSF17', 'CD38', 'FCRL5', 'CLPTM1L', 'SLAMF7']"
prostate prostatic glandular cells,"['PMEPA1', 'SLC39A6', 'EPHA5', 'PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TPTE', 'TMEFF1', 'SLC26A5']"
tongue basal keratinocytes,"['IGHG2', 'IGHG4', 'IGHG1', 'IGHA1', 'IGHM', 'CD27', 'LRP4', 'TNFRSF17', 'SLAMF7', 'FCRL5']"
placenta hofbauer cells,"['CD14', 'PLAUR', 'GPNMB', 'CD36', 'ITGB2', 'FCGR1A', 'FCGRT', 'MSR1', 'CD68', 'EVI2A']"
skeletal muscle skeletal myocytes,"['ANO5', 'ACHE', 'CDH15', 'FREM2', 'CACNG6', 'SLC2A4', 'PCDHGA8', 'SIGLEC5', 'PCDHA11', 'PCDHA6']"
tongue macrophages,"['HLA-DQB2', 'HLA-DQB1', 'HLA-DPB1', 'HLA-DQA2', 'IL1R2', 'CLEC5A', 'CD86', 'HLA-DPA1', 'CSF2RA', 'FLT3']"
adipose tissue fibroblasts,"['COL6A2', 'THY1', 'SCARA5', 'CTSK', 'GPNMB', 'MXRA8', 'PROCR', 'ABCA8', 'MRC2', 'PDGFRA']"
adipose tissue dendritic cells,"['IL3RA', 'CXCR3', 'SLC15A4', 'SEL1L3', 'SEMA7A', 'RET', 'EPHB1', 'KCNK17', 'PLXNA4', 'SLC1A4']"
breast breast myoepithelial cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'PCDHGB4', 'UGT1A9']"
pbmc monocytes,"['LRRC25', 'CD33', 'TNFRSF8', 'PILRA', 'LILRA1', 'SIGLEC5', 'PCDHGC5', 'ALPP', 'PCDHA11', 'PCDHA6']"
fallopian tube neutrophils,"['FCGR3B', 'RNF149', 'IL1R2', 'VNN2', 'SELL', 'MME', 'CXCR1', 'PLXNC1', 'SORL1', 'CPD']"
kidney proximal tubular cells,"['DPEP1', 'FOLR1', 'LRP2', 'CDH6', 'VCAM1', 'ENPEP', 'IL17RB', 'THY1', 'SLC2A9', 'NPR3']"
spleen macrophages,"['CYBB', 'CD68', 'LILRA5', 'CLEC12A', 'PTGS2', 'PILRA', 'CD302', 'LILRA1', 'SIGLEC7', 'PLAUR']"
breast fibroblasts,"['COL6A2', 'CTSK', 'ABCA8', 'MXRA8', 'ADAM12', 'PCDH18', 'MRC2', 'LRP1', 'THBS2', 'THY1']"
esophagus plasma cells,"['IGHA1', 'IGHG2', 'CD79A', 'TNFRSF17', 'SLAMF7', 'CD27', 'TNFRSF13B', 'FCRL5', 'CR2', 'SEL1L3']"
adipose tissue t-cells,"['IL7R', 'KLRB1', 'CD2', 'TRBC1', 'TRAC', 'TIGIT', 'CD40LG', 'CD3G', 'CD3D', 'TNFRSF9']"
bronchus ionocytes,"['PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'UGT1A9']"
lung t-cells,"['PRF1', 'IL7R', 'TRAC', 'TRBC1', 'CD3D', 'CD2', 'KLRF1', 'CD3G', 'KLRG1', 'NCR3']"
lung club cells,"['CLCA2', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHA6', 'UGT1A9', 'PCDHGB4']"
bone marrow b-cells,"['MS4A1', 'CD79A', 'CD37', 'CD79B', 'CD22', 'FCER2', 'CD19', 'FCRL2', 'FCRL3', 'BTLA']"
endometrium endometrial stromal cells,"['MME', 'APCDD1', 'PTCH1', 'PDGFRA', 'MXRA8', 'ADRA2C', 'HTR2B', 'CDH11', 'GABRA2', 'ADAM12']"
skin t-cells,"['CD3D', 'TRAC', 'CLEC2D', 'CD40LG', 'TRBC1', 'CD96', 'TIGIT', 'CD28', 'CD3G', 'CD2']"
thymus macrophages,"['CD163', 'MRC1', 'STAB1', 'SIGLEC1', 'MERTK', 'FCGR3A', 'MSR1', 'SLC1A3', 'CMKLR1', 'SIGLEC9']"
vascular smooth muscle cells,"['STEAP4', 'MFGE8', 'ITGA8', 'THBS2', 'MCAM', 'F2R', 'CDH13', 'SLC7A2', 'SUSD5', 'SLC14A1']"
adipose tissue schwann cells,"['HLA-DPA1', 'HLA-DPB1', 'CPVL', 'CADM1', 'TSPAN33', 'FLT3', 'TMEM132E', 'BTLA', 'SIGLEC5', 'PCDHGC5']"
liver kupffer cells,"['CD163', 'VCAM1', 'CD68', 'MSR1', 'FCGR3A', 'CR1', 'CYBB', 'SIGLEC1', 'AXL', 'IL1R2']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SGCD', 'SLC5A1', 'SLC2A4', 'CLCN6', 'PARM1', 'ANO5', 'FNDC5', 'KCNH2']"
placenta smooth muscle cells,"['AREG', 'COL6A2', 'AGTR1', 'ENPP1', 'THY1', 'NID2', 'CDH11', 'F3', 'ITGA1', 'LAMA2']"
liver plasma cells,"['IGHM', 'IGHA1', 'IGHG1', 'IGHG2', 'IGHG4', 'TNFRSF17', 'CD27', 'CD38', 'TNFRSF13B', 'FCRL5']"
stomach fibroblasts,"['COL6A2', 'PLVAP', 'PDGFRA', 'CTSK', 'VASN', 'SCARA5', 'PROCR', 'LRRN4CL', 'GLT8D2', 'GPNMB']"
tongue endothelial cells,"['AQP1', 'PECAM1', 'CLEC14A', 'PLVAP', 'LIFR', 'LRRC32', 'PODXL', 'CD34', 'SLCO2A1', 'PTPRB']"
brain excitatory neurons,"['PTPRD', 'NEGR1', 'SLC8A1', 'EPHA5', 'EFNA5', 'GABRB3', 'SORCS1', 'ITGA8', 'CDH10', 'LAMA2']"
fallopian tube ciliated cells,"['DYNC2H1', 'CACNG6', 'TCTN2', 'CHST6', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'GP5', 'HTR1D']"
adipose tissue nk-cells,"['PRF1', 'KLRC1', 'KLRF1', 'CD7', 'IL2RB', 'S1PR5', 'KIR3DL1', 'KIR2DS4', 'CD160', 'FCRL6']"
lung ciliated cells,"['TSPAN1', 'ANPEP', 'DYNC2H1', 'BACE1', 'HHLA2', 'CACNG6', 'ADORA1', 'CHST6', 'IL5RA', 'TCTN2']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'PROM2', 'HHLA2', 'HTR1D', 'FREM2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
adipose tissue macrophages,"['IL1R2', 'HLA-DRA', 'HLA-DQA1', 'MRC1', 'CD1C', 'OLR1', 'CD163', 'PTGS2', 'FCGR2B', 'STAB1']"
bone marrow plasma cells,"['IGHG2', 'IGHM', 'TNFRSF17', 'CD38', 'FCRL5', 'TSHR', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
skeletal muscle endothelial cells,"['AQP1', 'PLVAP', 'ICAM2', 'HYAL2', 'CLEC14A', 'PTPRB', 'CDH5', 'FLT1', 'ESAM', 'PODXL']"
heart muscle endothelial cells,"['AQP1', 'PECAM1', 'CDH5', 'CD36', 'FLT1', 'PODXL', 'ITGA1', 'SLC14A1', 'PTPRB', 'ITGA6']"
thymus endothelial cells,"['PLVAP', 'PECAM1', 'CLEC14A', 'RAMP3', 'SLCO2A1', 'AQP1', 'THBD', 'LIFR', 'PODXL', 'ICAM1']"
colon enteroendocrine cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D']"
vascular endothelial cells,"['PLVAP', 'PKHD1L1', 'PECAM1', 'LIFR', 'AQP1', 'PTPRB', 'SLCO2A1', 'RAMP3', 'PODXL', 'CDH5']"
eye cone photoreceptor cells,"['CHRNA3', 'ELFN1', 'SIGLEC5', 'PCDHGC5', 'TPTE', 'HTR1D', 'TRHR', 'GP5', 'TMEFF1', 'UGT1A9']"
fallopian tube endothelial cells,"['AQP1', 'FLT1', 'SELP', 'VCAM1', 'SLCO2A1', 'CLEC14A', 'PLVAP', 'LRRC32', 'ABCB1', 'SIGLEC5']"
fallopian tube plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'CD79A', 'CD27', 'TNFRSF17', 'FCRL5', 'TNFRSF13B', 'IGHG4']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'IL13RA2', 'NPY1R', 'CD4', 'SLC26A5', 'PCDHGB1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
rectum undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'HTR1D', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
stomach b-cells,"['MS4A1', 'LY9', 'CD37', 'CD19', 'CD79A', 'CD83', 'CXCR5', 'CR2', 'FCRL2', 'CD22']"
thymus b-cells,"['MS4A1', 'CD79A', 'LY9', 'CD19', 'CD22', 'CXCR5', 'TNFRSF13B', 'FCER2', 'CNR2', 'CR2']"
skin basal keratinocytes,"['ITGA2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D']"
breast t-cells,"['CD69', 'KLRB1', 'CD3D', 'TRAC', 'TRBC1', 'CD7', 'PRF1', 'KLRF1', 'CD2', 'NCR3']"
testis spermatocytes,"['LY6K', 'SLC2A5', 'GPR39', 'SLC22A16', 'TPTE', 'SLC6A2', 'PCDH17', 'ANO5', 'DYNC2H1', 'FAM174A']"
vascular macrophages,"['CD163', 'MRC1', 'MSR1', 'STAB1', 'FCGR2A', 'SLC1A3', 'FCGR3A', 'EMB', 'CPM', 'CD84']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'ACE', 'SLC5A1', 'TSPAN8', 'ENPEP', 'ATP1A1', 'MME', 'HLA-DRB5', 'HHLA2']"
placenta endothelial cells,"['FCGR2B', 'APLNR', 'ICAM2', 'JAM2', 'PECAM1', 'CD34', 'ESAM', 'PCDH17', 'CLEC14A', 'TIE1']"
salivary gland b-cells,"['MS4A1', 'CD79A', 'CD79B', 'FCER2', 'CD22', 'CD37', 'TNFRSF13B', 'LY9', 'CXCR5', 'CNR2']"
bone marrow macrophages,"['CYBB', 'CD68', 'LILRA5', 'CLEC12A', 'LRRC25', 'LILRB1', 'PILRA', 'LILRA1', 'FCGR1A', 'SIRPB1']"
stomach gastric mucus-secreting cells,"['SLC9A1', 'MST1R', 'LAMA3', 'MUC4', 'GOLM1', 'PLXNB2', 'ITGB4', 'SLC26A5', 'SEMA4G', 'SIGLEC5']"
small intestine enteroendocrine cells,"['SLC29A4', 'TMEM63C', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
pancreas macrophages,"['CD68', 'CD14', 'MCEMP1', 'ITGB2', 'GPNMB', 'CLEC5A', 'PILRA', 'CYBB', 'LAIR1', 'FCGR2A']"
pancreas endothelial cells,"['PLVAP', 'ESAM', 'ENG', 'PODXL', 'F2RL3', 'CD200', 'APLNR', 'TIE1', 'LAMA4', 'SIGLEC5']"
skin b-cells,"['IGHA1', 'IGHG1', 'HLA-DPB1', 'IGHG2', 'CPVL', 'TNFRSF17', 'PCDHGB1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
bone marrow erythroid cells,"['MINPP1', 'ITGA2B', 'KCNH2', 'SLC22A16', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'NTRK1']"
rectum distal enterocytes,"['SLC26A2', 'HHLA2', 'CLCN2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1']"
lung fibroblasts,"['FGFR4', 'PDGFRA', 'CDH11', 'PCDHGC5', 'SIGLEC5', 'PCDHGB1', 'TRHR', 'PCDHA11', 'TPTE', 'PCDHGB4']"
stomach plasma cells,"['IGHA1', 'IGHM', 'TNFRSF17', 'CD38', 'CD79A', 'SEL1L3', 'SLAMF7', 'FCRL5', 'CD27', 'KCNA3']"
testis spermatogonia,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA6', 'CDH15', 'PCDHA11', 'PCDHGB4', 'GP5', 'UGT1A9', 'TLR9']"
salivary gland smooth muscle cells,"['MCAM', 'ITGA8', 'ITGA7', 'EDNRA', 'SLC7A2', 'SUSD5', 'CDH6', 'CSPG4', 'SUSD2', 'SCN4B']"
skeletal muscle t-cells,"['TRBC1', 'CD3D', 'CD2', 'CD3G', 'TRAC', 'PRF1', 'CD226', 'FCRL6', 'CD6', 'KLRG1']"
eye bipolar cells,"['AMIGO2', 'KCNH2', 'PLXDC1', 'NTNG1', 'CADM3', 'SLC23A2', 'IGSF1', 'ELFN2', 'GABRB3', 'SORCS2']"
small intestine paneth cells,"['MSLN', 'ADRA2A', 'CNTFR', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1']"
prostate club cells,"['GPRC5A', 'MUC4', 'SLC14A1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHA6']"
skin langerhans cells,"['HLA-DRA', 'CD1C', 'IL1R2', 'HLA-DQB1', 'HLA-DQA1', 'CCR7', 'CSF2RA', 'FCGR2B', 'CD1B', 'HLA-DQA2']"
adipose tissue adipocytes,"['CD36', 'HYAL2', 'PLVAP', 'CDH5', 'AQP1', 'S1PR1', 'F2RL3', 'CLEC14A', 'ESAM', 'PTPRB']"
esophagus b-cells,"['MS4A1', 'CXCR5', 'CD19', 'CNR2', 'CD80', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'PCDHA11']"
salivary gland endothelial cells,"['PLVAP', 'AQP1', 'FLT1', 'PECAM1', 'PTPRB', 'RAMP3', 'CLEC14A', 'SLCO2A1', 'F2RL3', 'LRRC32']"
skeletal muscle smooth muscle cells,"['MFGE8', 'ITGA7', 'SCN4B', 'AGTR1', 'NFASC', 'PDGFRB', 'DCBLD1', 'NPY1R', 'CDH6', 'AOC3']"
skin suprabasal keratinocytes,"['KRT1', 'LYPD3', 'PLA2G3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1']"
spleen t-cells,"['IL7R', 'PRF1', 'KLRB1', 'GPR65', 'CD69', 'CD7', 'KLRF1', 'CD3D', 'KLRG1', 'TRBC1']"
thymus t-cells,"['IL7R', 'CD69', 'TRAC', 'CD3D', 'CD7', 'TIGIT', 'TRBC1', 'CD3G', 'CD28', 'CD5']"
liver erythroid cells,"['KCNH2', 'TFRC', 'SLC22A16', 'SLC6A9', 'MINPP1', 'ACHE', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
spleen plasma cells,"['IGHG1', 'IGHG2', 'IGHM', 'CD38', 'TNFRSF17', 'CD27', 'FCRL5', 'BSCL2', 'TMEM156', 'SLC2A5']"
vascular t-cells,"['IGHG4', 'IL7R', 'CD69', 'SLAMF6', 'CD2', 'CD226', 'IL2RA', 'CD96', 'SIGLEC5', 'PCDHGC5']"
bronchus basal respiratory cells,"['BCAM', 'ITGB6', 'CDH3', 'LAMA3', 'CLCA2', 'FAP', 'RAET1G', 'CD109', 'SLC2A9', 'AMIGO2']"
adipose tissue b-cells,"['IGHG1', 'IGHM', 'IGHA1', 'IGHG4', 'CD79A', 'MS4A1', 'IGHG2', 'LY9', 'TNFRSF13B', 'TMEM156']"
pancreas ductal cells,"['F3', 'CEACAM6', 'VCAM1', 'VNN1', 'TSPAN2', 'AMBP', 'GGT1', 'EPHB2', 'ADORA1', 'MSLN']"
fallopian tube lymphatic endothelial cells,"['FLT4', 'LRRC15', 'EFNA5', 'TIE1', 'F2RL3', 'CALCRL', 'UNC5A', 'SIGLEC5', 'PCDHGC5', 'TRHR']"
lung alveolar cells type 1,"['EMP2', 'GPRC5A', 'CEACAM6', 'ALPP', 'ROR1', 'PLXNA1', 'LAMA3', 'ITGA3', 'MSLN', 'CSPG5']"
bone marrow t-cells,"['PRF1', 'IL7R', 'LTB', 'KLRF1', 'CCR7', 'KLRG1', 'KIR2DS4', 'S1PR5', 'GPR174', 'IL2RB']"
breast macrophages,"['HLA-DPA1', 'HLA-DRB1', 'HLA-DRA', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQB1', 'CD83', 'CD1C', 'CD74', 'FCGR2B']"
thymus smooth muscle cells,"['STEAP4', 'MCAM', 'ITGA8', 'MFGE8', 'SUSD2', 'GGT5', 'AOC3', 'ITGA7', 'BCAM', 'EDNRA']"
rectum intestinal goblet cells,"['SLC12A2', 'DISP2', 'CACNA2D2', 'ST3GAL4', 'PCDH20', 'FGFR2', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'PCDHA11']"
ovary smooth muscle cells,"['MCAM', 'MFGE8', 'PDGFRB', 'AOC3', 'ITGA7', 'ENPEP', 'BCAM', 'SUSD5', 'CSPG4', 'PTGIR']"
spleen b-cells,"['MS4A1', 'CD79A', 'CD37', 'CR2', 'LY9', 'FCER2', 'CD83', 'CD19', 'CD22', 'CXCR5']"
thymus mesothelial cells,"['MSLN', 'MUC16', 'SLC39A8', 'LRP2', 'RAET1G', 'PROCR', 'ROR2', 'PTGER3', 'EFNB3', 'CDON']"
prostate basal prostatic cells,"['SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHA6', 'UGT1A9', 'TLR9', 'PCDHGB1']"
skin endothelial cells,"['PLVAP', 'AQP1', 'RAMP3', 'CD200', 'JAM2', 'FLT4', 'CD34', 'S1PR1', 'SELP', 'PCDH19']"
ovary lymphatic endothelial cells,"['FLT4', 'TIE1', 'NRP2', 'PKHD1L1', 'LRRC15', 'HYAL2', 'ITGB4', 'PCDHGB4', 'SLC26A5', 'UNC5A']"
kidney distal tubular cells,"['PTGER3', 'TYRP1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
endometrium glandular and luminal cells,"['CLU', 'IL6ST', 'SLC26A2', 'ENPP3', 'MUC16', 'CPM', 'SLC7A2', 'SLC39A14', 'DPP4', 'CDH1']"
colon intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D']"
lung b-cells,"['CD79A', 'MS4A1', 'CD79B', 'TNFRSF13B', 'LY9', 'CD19', 'LTB', 'FCRL2', 'CD22', 'FCER2']"
testis leydig cells,"['ABCA8', 'ENTPD2', 'HHIP', 'AGTR1', 'IGDCC4', 'SCARA5', 'FLRT2', 'SIGLEC5', 'SLITRK4', 'PCDHGC5']"
fallopian tube secretory cells,"['MSLN', 'PKHD1L1', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'HTR1D', 'UGT1A9']"
pancreas exocrine glandular cells,"['LTB', 'TSPAN1', 'ITGB6', 'ACHE', 'DPEP1', 'HHLA2', 'ANO9', 'PCDHA10', 'SLC43A1', 'PCDHA11']"
ovary granulosa cells,"['SIGLEC5', 'PCDHA11', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'PCDHGB1', 'UGT1A9']"
pancreas fibroblasts,"['THY1', 'FAP', 'PDCD1LG2', 'THBS2', 'IL13RA2', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'PCDHA11']"
testis peritubular cells,"['DPEP1', 'ENG', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHGB4', 'GP5', 'PCDHA11', 'UGT1A9']"
breast adipocytes,"['CD36', 'AQP1', 'SLC14A1', 'RAMP3', 'PLVAP', 'CLEC14A', 'APLNR', 'CDH5', 'SCARB1', 'SELP']"
tongue serous glandular cells,"['DNER', 'FNDC5', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
esophagus fibroblasts,"['CTSK', 'SCARA5', 'PDGFRA', 'GPNMB', 'PLXDC1', 'THBS2', 'ABCA8', 'TNFRSF21', 'MXRA8', 'APCDD1']"
fallopian tube granulocytes,"['KIT', 'SIGLEC6', 'CRLF2', 'NTRK1', 'TNFRSF9', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE']"
heart muscle smooth muscle cells,"['SUSD5', 'MCAM', 'ITGA8', 'SCN4B', 'CSPG4', 'SIGLEC12', 'AOC3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
liver endothelial cells,"['FLT1', 'FCGR2B', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
salivary gland mucus glandular cells,"['PCDHGC5', 'SIGLEC5', 'PCDHA11', 'PCDHA6', 'TPTE', 'TRHR', 'TMEFF1', 'HTR1D', 'UGT1A9', 'TLR9']"
lung smooth muscle cells,"['PDGFRB', 'MCAM', 'MRGPRF', 'CSPG4', 'TRPC6', 'KCNK17', 'AOC3', 'CDH6', 'LRRC4B', 'PTGIR']"
