Tissue	Cell type	Negative Gene Names
small intestine	proximal enterocytes	['MUC4', 'ALCAM', 'TLR9', 'CDON', 'IL4R']
rectum	enteroendocrine cells	['TLR9', 'IL4R']
rectum	intestinal goblet cells	['TLR9', 'IL4R', 'ALCAM']
rectum	distal enterocytes	['TLR9', 'IL4R', 'ALCAM']
rectum	undifferentiated cells	['TLR9', 'IL4R', 'ALCAM']
colon	enteroendocrine cells	['TLR9', 'IL4R']
colon	intestinal goblet cells	['TLR9', 'IL4R', 'ALCAM']
colon	distal enterocytes	['TLR9', 'IL4R', 'ALCAM']
colon	undifferentiated cells	['TLR9', 'IL4R', 'ALCAM']
eye	muller glia cells	['NTNG1', 'CNTNAP2', 'TPBG']
eye	bipolar cells	['NTNG1', 'CNTNAP2', 'TPBG']
eye	cone photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
eye	horizontal cells	['NTNG1', 'CNTNAP2', 'TPBG']
testis	spermatogonia	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	late spermatids	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	endothelial cells	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	spermatocytes	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	peritubular cells	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	early spermatids	['EDNRA', 'NOTCH2', 'CD55', 'STIM1', 'FAS', 'KITLG', 'CLU', 'THBS2', 'PLAUR', 'PTCH1']
testis	leydig cells	['STIM1', 'NOTCH2', 'KITLG', 'CD55', 'FAS', 'CLU']
liver	kupffer cells	['ALPL', 'MME', 'ICAM1', 'TACSTD2', 'AQP1', 'GGT7', 'LRP5', 'SLC4A2', 'JAG1', 'GGT1', 'LEPR', 'FGFR4', 'ITGB4', 'EPCAM', 'AMBP', 'CDH1']
liver	smooth muscle cells	['LRP5', 'CD163', 'AMBP', 'CD14', 'MME', 'TACSTD2', 'CD38', 'ICAM1', 'AQP1', 'CLEC1B', 'TLR9', 'LEPR', 'SLC15A3', 'MSR1', 'JAG1', 'GGT1', 'ITGB4', 'EPCAM', 'ALPL', 'GGT7', 'TLR4', 'HFE', 'SLC4A2', 'FGFR4', 'CDH1']
liver	endothelial cells	['LRP5', 'CD163', 'AMBP', 'CD14', 'MME', 'TACSTD2', 'CD38', 'ICAM1', 'AQP1', 'CLEC1B', 'TLR9', 'LEPR', 'SLC15A3', 'MSR1', 'JAG1', 'GGT1', 'ITGB4', 'EPCAM', 'ALPL', 'GGT7', 'TLR4', 'HFE', 'SLC4A2', 'FGFR4', 'CDH1']
liver	fibroblasts	['LRP5', 'CD163', 'AMBP', 'CD14', 'MME', 'TACSTD2', 'CD38', 'ICAM1', 'AQP1', 'CLEC1B', 'TLR9', 'LEPR', 'SLC15A3', 'MSR1', 'JAG1', 'GGT1', 'ITGB4', 'EPCAM', 'ALPL', 'GGT7', 'TLR4', 'HFE', 'SLC4A2', 'FGFR4', 'CDH1']
liver	erythroid cells	['LRP5', 'CD163', 'AMBP', 'CD14', 'MME', 'TACSTD2', 'CD38', 'ICAM1', 'AQP1', 'CLEC1B', 'TLR9', 'LEPR', 'SLC15A3', 'MSR1', 'JAG1', 'GGT1', 'ITGB4', 'EPCAM', 'ALPL', 'GGT7', 'TLR4', 'HFE', 'SLC4A2', 'FGFR4', 'CDH1']
liver	cholangiocytes	['CD14', 'MME', 'ICAM1', 'TLR4', 'HFE', 'LRP5', 'CLEC1B', 'TLR9', 'LEPR', 'SLC15A3', 'FGFR4', 'MSR1', 'CD38', 'CD163', 'AMBP', 'CDH1']
rectum	paneth cells	['ALCAM']
lung	club cells	['GPRC5A', 'ICAM1', 'THY1', 'CD34', 'COL6A2', 'DDR2', 'P2RX7', 'CD36', 'PDGFRA', 'EMP2', 'PTPRC', 'FAP', 'VIM', 'CD163', 'PDGFRB']
lung	alveolar cells type 1	['THY1', 'CD34', 'COL6A2', 'DDR2', 'CD36', 'PDGFRA', 'PTPRC', 'FAP', 'VIM', 'CD163', 'PDGFRB']
lung	ciliated cells	['GPRC5A', 'ICAM1', 'THY1', 'CD34', 'COL6A2', 'DDR2', 'P2RX7', 'CD36', 'PDGFRA', 'EMP2', 'PTPRC', 'FAP', 'VIM', 'CD163', 'PDGFRB']
lung	smooth muscle cells	['GPRC5A', 'ICAM1', 'THY1', 'CD34', 'COL6A2', 'DDR2', 'P2RX7', 'CD36', 'PDGFRA', 'EMP2', 'PTPRC', 'FAP', 'VIM', 'CD163', 'PDGFRB']
lung	endothelial cells	['GPRC5A', 'ICAM1', 'THY1', 'CD34', 'COL6A2', 'DDR2', 'P2RX7', 'CD36', 'PDGFRA', 'EMP2', 'PTPRC', 'FAP', 'VIM', 'CD163', 'PDGFRB']
lung	fibroblasts	['GPRC5A', 'ICAM1', 'P2RX7', 'CD36', 'EMP2']
brain	excitatory neurons	['CD86', 'LRP1', 'UGT8', 'ERBB3', 'TMEM63A', 'PDGFRA', 'EPHB1', 'CDH13', 'ITGA6', 'CNTNAP2', 'GRIA2', 'ATP1B2', 'SORCS2', 'SORL1', 'TSPAN15', 'CCR7', 'PCDH15', 'CD109', 'RTN4', 'L1CAM', 'EFNB3', 'S1PR5', 'PCDH9', 'ITGA1', 'ABCA1', 'PLXNB1', 'ALCAM', 'CD40', 'PON2', 'NTRK2', 'HEPACAM', 'CSPG4', 'OPCML', 'LRRN1', 'TYRO3', 'THY1', 'SLC6A11', 'CA12', 'S1PR1', 'P2RX7', 'BACE1', 'ENTPD2', 'ITGB4', 'CD44', 'VIM', 'LRRC8A', 'CD80', 'FGFR3', 'RYR3', 'SLC14A1', 'F3', 'CXADR', 'SLC1A3', 'FGFR2', 'NPC1', 'NRP1', 'CLU', 'SLC15A2', 'EVI2A', 'ITGA7', 'HLA-E', 'SEMA4D', 'CPVL', 'MCAM']
brain	oligodendrocytes	['ATP1B2', 'CCR7', 'PLXNB1', 'ENTPD2', 'FGFR3', 'RYR3', 'F3', 'NRP1', 'CPVL', 'PDGFRA', 'ITGA6', 'SORL1', 'L1CAM', 'ITGA1', 'PON2', 'HEPACAM', 'CA12', 'CD44', 'LRRC8A', 'CD80', 'SLC14A1', 'SLC1A3', 'CLU', 'ITGA7', 'CD109', 'CD86', 'SORCS2', 'PCDH15', 'ABCA1', 'CD40', 'SLC6A11', 'ITGB4', 'VIM', 'LRP1', 'NTRK2', 'S1PR1', 'SLC15A2', 'HLA-E']
brain	oligodendrocyte precursor cells	['CD86', 'LRP1', 'UGT8', 'ERBB3', 'TMEM63A', 'PDGFRA', 'EPHB1', 'CDH13', 'ITGA6', 'CNTNAP2', 'GRIA2', 'ATP1B2', 'SORCS2', 'SORL1', 'TSPAN15', 'CCR7', 'PCDH15', 'CD109', 'RTN4', 'L1CAM', 'EFNB3', 'S1PR5', 'PCDH9', 'ITGA1', 'ABCA1', 'PLXNB1', 'ALCAM', 'CD40', 'PON2', 'NTRK2', 'HEPACAM', 'CSPG4', 'OPCML', 'LRRN1', 'TYRO3', 'THY1', 'SLC6A11', 'CA12', 'S1PR1', 'P2RX7', 'BACE1', 'ENTPD2', 'ITGB4', 'CD44', 'VIM', 'LRRC8A', 'CD80', 'FGFR3', 'RYR3', 'SLC14A1', 'F3', 'CXADR', 'SLC1A3', 'FGFR2', 'NPC1', 'NRP1', 'CLU', 'SLC15A2', 'EVI2A', 'ITGA7', 'HLA-E', 'SEMA4D', 'CPVL', 'MCAM']
brain	inhibitory neurons	['CD86', 'LRP1', 'UGT8', 'ERBB3', 'TMEM63A', 'PDGFRA', 'EPHB1', 'CDH13', 'ITGA6', 'CNTNAP2', 'GRIA2', 'ATP1B2', 'SORCS2', 'SORL1', 'TSPAN15', 'CCR7', 'PCDH15', 'CD109', 'RTN4', 'L1CAM', 'EFNB3', 'S1PR5', 'PCDH9', 'ITGA1', 'ABCA1', 'PLXNB1', 'ALCAM', 'CD40', 'PON2', 'NTRK2', 'HEPACAM', 'CSPG4', 'OPCML', 'LRRN1', 'TYRO3', 'THY1', 'SLC6A11', 'CA12', 'S1PR1', 'P2RX7', 'BACE1', 'ENTPD2', 'ITGB4', 'CD44', 'VIM', 'LRRC8A', 'CD80', 'FGFR3', 'RYR3', 'SLC14A1', 'F3', 'CXADR', 'SLC1A3', 'FGFR2', 'NPC1', 'NRP1', 'CLU', 'SLC15A2', 'EVI2A', 'ITGA7', 'HLA-E', 'SEMA4D', 'CPVL', 'MCAM']
brain	microglial cells	['CD86', 'LRP1', 'UGT8', 'ERBB3', 'TMEM63A', 'PDGFRA', 'EPHB1', 'CDH13', 'ITGA6', 'CNTNAP2', 'GRIA2', 'ATP1B2', 'SORCS2', 'SORL1', 'TSPAN15', 'CCR7', 'PCDH15', 'CD109', 'RTN4', 'L1CAM', 'EFNB3', 'S1PR5', 'PCDH9', 'ITGA1', 'ABCA1', 'PLXNB1', 'ALCAM', 'CD40', 'PON2', 'NTRK2', 'HEPACAM', 'CSPG4', 'OPCML', 'LRRN1', 'TYRO3', 'THY1', 'SLC6A11', 'CA12', 'S1PR1', 'P2RX7', 'BACE1', 'ENTPD2', 'ITGB4', 'CD44', 'VIM', 'LRRC8A', 'CD80', 'FGFR3', 'RYR3', 'SLC14A1', 'F3', 'CXADR', 'SLC1A3', 'FGFR2', 'NPC1', 'NRP1', 'CLU', 'SLC15A2', 'EVI2A', 'ITGA7', 'HLA-E', 'SEMA4D', 'CPVL', 'MCAM']
adipose tissue	adipocytes	['ITGAL', 'ENTPD2', 'CDH11', 'PDGFRA', 'NT5E', 'CD44', 'DDR2', 'PTCH1', 'PTPRC', 'PDGFRB', 'HHIP', 'CD40', 'CTSK', 'SCARA5', 'VIM', 'LAMA2', 'CD55', 'DPEP1', 'COL6A2', 'LRP1', 'THBS2', 'THY1', 'IL1R1', 'FAP', 'PKD2']
adipose tissue	smooth muscle cells	['TMEM26', 'COL6A2', 'LRP1', 'PDGFRA', 'PTPRC', 'SLC1A5', 'PDGFRB', 'STEAP4', 'ADRB2', 'NT5E', 'ITGAL', 'HHIP', 'ADAM12', 'AOC3', 'SLC2A4', 'CD40', 'THBS2', 'CTSK', 'MPZL1', 'THY1', 'EGFR', 'TNFRSF9', 'FZD4', 'IL1R1', 'ENTPD2', 'CD44', 'SCARA5', 'VIM', 'CDH11', 'LAMA2', 'TLR4', 'CD55', 'TLR2', 'FAP', 'DDR2', 'PTCH1', 'PKD2', 'DPEP1']
adipose tissue	schwann cells	['TMEM26', 'COL6A2', 'LRP1', 'PDGFRA', 'PTPRC', 'SLC1A5', 'PDGFRB', 'STEAP4', 'ADRB2', 'NT5E', 'ITGAL', 'HHIP', 'ADAM12', 'AOC3', 'SLC2A4', 'CD40', 'THBS2', 'CTSK', 'MPZL1', 'THY1', 'EGFR', 'TNFRSF9', 'FZD4', 'IL1R1', 'ENTPD2', 'CD44', 'SCARA5', 'VIM', 'CDH11', 'LAMA2', 'TLR4', 'CD55', 'TLR2', 'FAP', 'DDR2', 'PTCH1', 'PKD2', 'DPEP1']
immune	t-cells	['FCGR2B', 'TNFRSF13B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD19', 'SLAMF7', 'CD3G', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'IL2RG', 'KLRC1', 'CD244', 'CD74', 'CD38', 'IL18R1', 'SELPLG', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'PDCD1', 'CD69', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'IGHM', 'CD79A', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'NCR3', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'CD79B', 'STAB1', 'PLAUR', 'CLEC12A', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD22', 'SIGLEC7', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
bronchus	club cells	['SLC12A2', 'SLC9A7']
bronchus	ciliated cells	['SLC12A2', 'SLC9A7']
bronchus	basal respiratory cells	['SLC12A2', 'SLC9A7']
bronchus	smooth muscle cells	['SLC12A2', 'SLC9A7']
vascular	endothelial cells	['PDGFRB']
vascular	fibroblasts	['CLEC14A', 'APLNR', 'ITGB3', 'ICAM2', 'SLC7A5', 'VCAM1', 'PTPRB', 'TGFBR2', 'ENG', 'NPR1', 'EMP1', 'STAB1', 'PDGFRB', 'SEMA7A', 'PODXL', 'THBD', 'SLC2A1', 'PLVAP', 'TEK', 'AQP1', 'ICAM1', 'PROCR', 'CD34', 'DPP4', 'NRP2', 'CD36', 'CLEC1B', 'FLT4', 'RAMP3', 'LIFR', 'THSD1', 'FLT1', 'CD55', 'CDH5', 'HYAL2', 'HSPG2', 'ECE1', 'PECAM1', 'CALCRL', 'CD82', 'TSPAN8', 'TIE1', 'MCAM']
vascular	schwann cells	['CLEC14A', 'APLNR', 'ITGB3', 'ICAM2', 'SLC7A5', 'VCAM1', 'PTPRB', 'TGFBR2', 'ENG', 'NPR1', 'EMP1', 'STAB1', 'PDGFRB', 'SEMA7A', 'PODXL', 'THBD', 'SLC2A1', 'PLVAP', 'TEK', 'AQP1', 'ICAM1', 'PROCR', 'CD34', 'DPP4', 'NRP2', 'CD36', 'CLEC1B', 'FLT4', 'RAMP3', 'LIFR', 'THSD1', 'FLT1', 'CD55', 'CDH5', 'HYAL2', 'HSPG2', 'ECE1', 'PECAM1', 'CALCRL', 'CD82', 'TSPAN8', 'TIE1', 'MCAM']
liver	hepatocytes	['CD14', 'ALPL', 'TACSTD2', 'TLR4', 'HFE', 'AQP1', 'EPCAM', 'GGT7', 'SLC4A2', 'CLEC1B', 'TLR9', 'SLC15A3', 'MSR1', 'JAG1', 'GGT1', 'ITGB4', 'CD38', 'CD163']
