Tissue	Cell type	Positive Gene Names
breast	fibroblasts	['THY1', 'PDGFRA', 'ITGB1', 'PDGFRB']
stomach	fibroblasts	['COL6A2', 'PDGFRA', 'PDGFRB', 'CSPG4', 'THY1', 'FAP', 'VIM', 'ITGB1']
lung	fibroblasts	['COL6A2', 'PDGFRA', 'PTPRC', 'CD163', 'PDGFRB', 'THY1', 'CD34', 'CD36', 'VIM', 'FAP', 'DDR2']
pancreas	fibroblasts	['THY1', 'FAP']
esophagus	fibroblasts	['THY1', 'VIM']
placenta	syncytiotrophoblasts	['CD63']
thymus	fibroblasts	['PDGFRA', 'FAP']
immune	granulocytes	['ITGAM']
skin	fibroblasts	['COL6A2', 'PDGFRA', 'APCDD1', 'MXRA8', 'THY1', 'DPP4', 'CD36', 'VIM', 'FAP']
heart muscle	fibroblasts	['THY1', 'PDGFRA', 'DDR2']
skeletal muscle	fibroblasts	['PDGFRA']
