Tissue	Cell type	Negative Gene Names
small intestine	proximal enterocytes	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
rectum	distal enterocytes	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
rectum	undifferentiated cells	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
rectum	enteroendocrine cells	['MUC4', 'IL4R', 'CDON', 'TLR9']
rectum	intestinal goblet cells	['IL4R', 'ALCAM', 'TLR9']
colon	distal enterocytes	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
colon	undifferentiated cells	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
colon	enteroendocrine cells	['MUC4', 'IL4R', 'CDON', 'TLR9']
colon	intestinal goblet cells	['IL4R', 'ALCAM', 'TLR9']
eye	muller glia cells	['CNTNAP2', 'NTNG1', 'TPBG']
eye	bipolar cells	['CNTNAP2', 'NTNG1', 'TPBG']
eye	horizontal cells	['CNTNAP2', 'NTNG1', 'TPBG']
eye	cone photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
testis	early spermatids	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
testis	endothelial cells	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
testis	late spermatids	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
testis	peritubular cells	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
testis	spermatogonia	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
testis	leydig cells	['STIM1', 'CD55', 'FAS', 'NOTCH2', 'CLU', 'KITLG']
testis	spermatocytes	['CD55', 'STIM1', 'PLAUR', 'PTCH1', 'NOTCH2', 'FAS', 'THBS2', 'KITLG', 'CLU', 'EDNRA']
liver	kupffer cells	['ALPL', 'GGT7', 'LRP5', 'AQP1', 'JAG1', 'ITGB4', 'AMBP', 'FGFR4', 'LEPR', 'GGT1', 'CDH1', 'EPCAM', 'MME', 'SLC4A2', 'ICAM1', 'TACSTD2']
liver	cholangiocytes	['MSR1', 'LRP5', 'AMBP', 'FGFR4', 'LEPR', 'HFE', 'CD38', 'CLEC1B', 'CDH1', 'CD163', 'SLC15A3', 'CD14', 'MME', 'TLR4', 'ICAM1', 'TLR9']
liver	smooth muscle cells	['LRP5', 'AQP1', 'AMBP', 'LEPR', 'CD38', 'CLEC1B', 'SLC4A2', 'CDH1', 'EPCAM', 'CD163', 'TACSTD2', 'MME', 'ALPL', 'JAG1', 'GGT1', 'CD14', 'GGT7', 'MSR1', 'FGFR4', 'HFE', 'SLC15A3', 'ITGB4', 'TLR4', 'ICAM1', 'TLR9']
liver	endothelial cells	['LRP5', 'AQP1', 'AMBP', 'LEPR', 'CD38', 'CLEC1B', 'SLC4A2', 'CDH1', 'EPCAM', 'CD163', 'TACSTD2', 'MME', 'ALPL', 'JAG1', 'GGT1', 'CD14', 'GGT7', 'MSR1', 'FGFR4', 'HFE', 'SLC15A3', 'ITGB4', 'TLR4', 'ICAM1', 'TLR9']
liver	erythroid cells	['LRP5', 'AQP1', 'AMBP', 'LEPR', 'CD38', 'CLEC1B', 'SLC4A2', 'CDH1', 'EPCAM', 'CD163', 'TACSTD2', 'MME', 'ALPL', 'JAG1', 'GGT1', 'CD14', 'GGT7', 'MSR1', 'FGFR4', 'HFE', 'SLC15A3', 'ITGB4', 'TLR4', 'ICAM1', 'TLR9']
liver	fibroblasts	['LRP5', 'AQP1', 'AMBP', 'LEPR', 'CD38', 'CLEC1B', 'SLC4A2', 'CDH1', 'EPCAM', 'CD163', 'TACSTD2', 'MME', 'ALPL', 'JAG1', 'GGT1', 'CD14', 'GGT7', 'MSR1', 'FGFR4', 'HFE', 'SLC15A3', 'ITGB4', 'TLR4', 'ICAM1', 'TLR9']
rectum	paneth cells	['ALCAM', 'CDON', 'MUC4']
lung	ciliated cells	['P2RX7', 'EMP2', 'VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'GPRC5A', 'ICAM1', 'FAP']
lung	smooth muscle cells	['P2RX7', 'EMP2', 'VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'GPRC5A', 'ICAM1', 'FAP']
lung	club cells	['P2RX7', 'EMP2', 'VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'GPRC5A', 'ICAM1', 'FAP']
lung	endothelial cells	['P2RX7', 'EMP2', 'VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'GPRC5A', 'ICAM1', 'FAP']
lung	fibroblasts	['P2RX7', 'EMP2', 'CD36', 'GPRC5A', 'ICAM1']
lung	alveolar cells type 1	['VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'FAP']
brain	inhibitory neurons	['S1PR1', 'P2RX7', 'VIM', 'SORCS2', 'CDH13', 'HEPACAM', 'NTRK2', 'TSPAN15', 'PCDH9', 'PLXNB1', 'CNTNAP2', 'THY1', 'CA12', 'FGFR3', 'HLA-E', 'BACE1', 'EPHB1', 'OPCML', 'ITGA1', 'CPVL', 'ATP1B2', 'SLC15A2', 'FGFR2', 'CXADR', 'F3', 'SLC14A1', 'RYR3', 'LRRN1', 'PON2', 'CD80', 'PDGFRA', 'PCDH15', 'SLC1A3', 'CLU', 'CD44', 'CD86', 'CSPG4', 'LRP1', 'CD40', 'ABCA1', 'SORL1', 'RTN4', 'MCAM', 'ERBB3', 'GRIA2', 'EVI2A', 'S1PR5', 'UGT8', 'SEMA4D', 'LRRC8A', 'CCR7', 'CD109', 'ALCAM', 'TYRO3', 'NPC1', 'SLC6A11', 'L1CAM', 'NRP1', 'ITGA7', 'EFNB3', 'ITGA6', 'ITGB4', 'ENTPD2', 'TMEM63A']
brain	oligodendrocytes	['ITGA1', 'F3', 'SLC14A1', 'LRP1', 'CD40', 'ABCA1', 'CCR7', 'NRP1', 'ITGA6', 'NTRK2', 'FGFR3', 'ATP1B2', 'PON2', 'CD80', 'CLU', 'LRRC8A', 'ITGA7', 'ITGB4', 'ENTPD2', 'S1PR1', 'VIM', 'HEPACAM', 'HLA-E', 'SLC15A2', 'RYR3', 'SLC1A3', 'CD44', 'CD86', 'SORL1', 'SLC6A11', 'SORCS2', 'PLXNB1', 'CA12', 'CPVL', 'PDGFRA', 'PCDH15', 'CD109', 'L1CAM']
brain	microglial cells	['S1PR1', 'P2RX7', 'VIM', 'SORCS2', 'CDH13', 'HEPACAM', 'NTRK2', 'TSPAN15', 'PCDH9', 'PLXNB1', 'CNTNAP2', 'THY1', 'CA12', 'FGFR3', 'HLA-E', 'BACE1', 'EPHB1', 'OPCML', 'ITGA1', 'CPVL', 'ATP1B2', 'SLC15A2', 'FGFR2', 'CXADR', 'F3', 'SLC14A1', 'RYR3', 'LRRN1', 'PON2', 'CD80', 'PDGFRA', 'PCDH15', 'SLC1A3', 'CLU', 'CD44', 'CD86', 'CSPG4', 'LRP1', 'CD40', 'ABCA1', 'SORL1', 'RTN4', 'MCAM', 'ERBB3', 'GRIA2', 'EVI2A', 'S1PR5', 'UGT8', 'SEMA4D', 'LRRC8A', 'CCR7', 'CD109', 'ALCAM', 'TYRO3', 'NPC1', 'SLC6A11', 'L1CAM', 'NRP1', 'ITGA7', 'EFNB3', 'ITGA6', 'ITGB4', 'ENTPD2', 'TMEM63A']
brain	excitatory neurons	['S1PR1', 'P2RX7', 'VIM', 'SORCS2', 'CDH13', 'HEPACAM', 'NTRK2', 'TSPAN15', 'PCDH9', 'PLXNB1', 'CNTNAP2', 'THY1', 'CA12', 'FGFR3', 'HLA-E', 'BACE1', 'EPHB1', 'OPCML', 'ITGA1', 'CPVL', 'ATP1B2', 'SLC15A2', 'FGFR2', 'CXADR', 'F3', 'SLC14A1', 'RYR3', 'LRRN1', 'PON2', 'CD80', 'PDGFRA', 'PCDH15', 'SLC1A3', 'CLU', 'CD44', 'CD86', 'CSPG4', 'LRP1', 'CD40', 'ABCA1', 'SORL1', 'RTN4', 'MCAM', 'ERBB3', 'GRIA2', 'EVI2A', 'S1PR5', 'UGT8', 'SEMA4D', 'LRRC8A', 'CCR7', 'CD109', 'ALCAM', 'TYRO3', 'NPC1', 'SLC6A11', 'L1CAM', 'NRP1', 'ITGA7', 'EFNB3', 'ITGA6', 'ITGB4', 'ENTPD2', 'TMEM63A']
brain	oligodendrocyte precursor cells	['S1PR1', 'P2RX7', 'VIM', 'SORCS2', 'CDH13', 'HEPACAM', 'NTRK2', 'TSPAN15', 'PCDH9', 'PLXNB1', 'CNTNAP2', 'THY1', 'CA12', 'FGFR3', 'HLA-E', 'BACE1', 'EPHB1', 'OPCML', 'ITGA1', 'CPVL', 'ATP1B2', 'SLC15A2', 'FGFR2', 'CXADR', 'F3', 'SLC14A1', 'RYR3', 'LRRN1', 'PON2', 'CD80', 'PDGFRA', 'PCDH15', 'SLC1A3', 'CLU', 'CD44', 'CD86', 'CSPG4', 'LRP1', 'CD40', 'ABCA1', 'SORL1', 'RTN4', 'MCAM', 'ERBB3', 'GRIA2', 'EVI2A', 'S1PR5', 'UGT8', 'SEMA4D', 'LRRC8A', 'CCR7', 'CD109', 'ALCAM', 'TYRO3', 'NPC1', 'SLC6A11', 'L1CAM', 'NRP1', 'ITGA7', 'EFNB3', 'ITGA6', 'ITGB4', 'ENTPD2', 'TMEM63A']
adipose tissue	adipocytes	['LAMA2', 'CD55', 'LRP1', 'IL1R1', 'CD40', 'DPEP1', 'THY1', 'ITGAL', 'ENTPD2', 'VIM', 'CDH11', 'FAP', 'PDGFRB', 'CD44', 'PTCH1', 'DDR2', 'PKD2', 'COL6A2', 'CTSK', 'THBS2', 'NT5E', 'HHIP', 'PDGFRA', 'SCARA5', 'PTPRC']
adipose tissue	smooth muscle cells	['CTSK', 'LAMA2', 'DPEP1', 'VIM', 'SLC2A4', 'CDH11', 'THBS2', 'THY1', 'TMEM26', 'FAP', 'NT5E', 'CD55', 'HHIP', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'CD44', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'IL1R1', 'ADRB2', 'PTCH1', 'CD40', 'ITGAL', 'DDR2', 'MPZL1', 'SCARA5', 'PKD2', 'COL6A2', 'PTPRC', 'TLR2', 'FZD4', 'TLR4', 'ENTPD2']
adipose tissue	schwann cells	['CTSK', 'LAMA2', 'DPEP1', 'VIM', 'SLC2A4', 'CDH11', 'THBS2', 'THY1', 'TMEM26', 'FAP', 'NT5E', 'CD55', 'HHIP', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'CD44', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'IL1R1', 'ADRB2', 'PTCH1', 'CD40', 'ITGAL', 'DDR2', 'MPZL1', 'SCARA5', 'PKD2', 'COL6A2', 'PTPRC', 'TLR2', 'FZD4', 'TLR4', 'ENTPD2']
immune	t-cells	['LY75', 'KIR3DL1', 'PLAUR', 'HLA-A', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'IGHG4', 'CADM1', 'MME', 'CD83', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'KLRC1', 'CD7', 'LAIR1', 'KLRB1', 'CD72', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'CD74', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'HLA-DPA1', 'IL2RB', 'BSG', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'ITGA2']
bronchus	ciliated cells	['SLC12A2', 'SLC9A7']
bronchus	smooth muscle cells	['SLC12A2', 'SLC9A7']
bronchus	club cells	['SLC12A2', 'SLC9A7']
bronchus	basal respiratory cells	['SLC12A2', 'SLC9A7']
vascular	endothelial cells	['PDGFRB']
vascular	fibroblasts	['AQP1', 'CALCRL', 'FLT1', 'PODXL', 'NPR1', 'TIE1', 'CLEC1B', 'EMP1', 'NRP2', 'TSPAN8', 'HYAL2', 'CD55', 'RAMP3', 'ICAM2', 'HSPG2', 'PECAM1', 'THBD', 'SLC7A5', 'CDH5', 'LIFR', 'CLEC14A', 'PDGFRB', 'THSD1', 'ECE1', 'DPP4', 'SLC2A1', 'ENG', 'MCAM', 'CD36', 'TEK', 'PLVAP', 'PROCR', 'VCAM1', 'FLT4', 'STAB1', 'TGFBR2', 'PTPRB', 'CD34', 'APLNR', 'ITGB3', 'CD82', 'ICAM1', 'SEMA7A']
vascular	schwann cells	['AQP1', 'CALCRL', 'FLT1', 'PODXL', 'NPR1', 'TIE1', 'CLEC1B', 'EMP1', 'NRP2', 'TSPAN8', 'HYAL2', 'CD55', 'RAMP3', 'ICAM2', 'HSPG2', 'PECAM1', 'THBD', 'SLC7A5', 'CDH5', 'LIFR', 'CLEC14A', 'PDGFRB', 'THSD1', 'ECE1', 'DPP4', 'SLC2A1', 'ENG', 'MCAM', 'CD36', 'TEK', 'PLVAP', 'PROCR', 'VCAM1', 'FLT4', 'STAB1', 'TGFBR2', 'PTPRB', 'CD34', 'APLNR', 'ITGB3', 'CD82', 'ICAM1', 'SEMA7A']
