Tissue	Cell type	Positive Gene Names
immune	monocytes	['PLAUR', 'HLA-DRA', 'CD1C', 'FCGR2B', 'SIGLEC1', 'CD40', 'NAAA', 'CD244', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'CD7', 'PECAM1', 'FAS', 'CD163', 'FCGR3B', 'ITGAL', 'CD14', 'CD48', 'STAB1', 'CD38', 'CLEC12A', 'CD4', 'ITGAX', 'SELL', 'CMKLR1', 'CD44', 'CD86', 'BSG', 'ITGAM', 'FCGR1A', 'PILRA', 'MRC1', 'CD63', 'CD68', 'FCGR3A', 'CD36', 'SELPLG', 'CXCR3', 'CD33', 'TNFRSF14', 'PTPRC']
bronchus	ionocytes	['SLC12A2', 'SLC9A7']
vascular	smooth muscle cells	['PDGFRB']
liver	kupffer cells	['CD38', 'CLEC1B', 'CD163', 'CD14', 'MSR1', 'HFE', 'SLC15A3', 'TLR4', 'TLR9']
heart muscle	cardiomyocytes	['SLC5A1', 'AQP1', 'SIRPA', 'NOTCH1', 'CD36']
liver	cholangiocytes	['AQP1', 'SLC4A2', 'EPCAM', 'TACSTD2', 'ALPL', 'JAG1', 'GGT1', 'GGT7', 'ITGB4']
colon	enteroendocrine cells	['ALCAM']
vascular	endothelial cells	['CALCRL', 'NRP2', 'CD55', 'LIFR', 'MCAM', 'ITGB3', 'CD82', 'ICAM1', 'CLEC1B', 'EMP1', 'TSPAN8', 'RAMP3', 'HSPG2', 'PECAM1', 'THSD1', 'VCAM1', 'STAB1', 'TGFBR2', 'APLNR', 'AQP1', 'PODXL', 'NPR1', 'TIE1', 'HYAL2', 'THBD', 'CLEC14A', 'ECE1', 'DPP4', 'SLC2A1', 'ENG', 'TEK', 'PLVAP', 'CD34', 'SEMA7A', 'FLT1', 'ICAM2', 'SLC7A5', 'CD36', 'PROCR', 'FLT4', 'PTPRB', 'CDH5']
eye	cone photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
small intestine	enteroendocrine cells	['ALCAM']
small intestine	paneth cells	['TLR9', 'IL4R']
skin	langerhans cells	['HLA-DRB5', 'HLA-DRA', 'HLA-DRB1', 'CD80', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'FCGR1A', 'HLA-DQB2', 'GPNMB', 'HLA-DQA1', 'PTPRC', 'TLR2', 'ACHE', 'TLR4', 'HLA-DQB1', 'TLR9']
adipose tissue	adipocytes	['LRP1', 'MPZL1', 'TLR4', 'SLC2A4', 'TNFRSF9', 'SLC1A5', 'EGFR', 'ADAM12', 'AOC3', 'STEAP4', 'TMEM26', 'COL6A2', 'FZD4', 'ADRB2', 'TLR2']
pancreas	ductal cells	['AQP1', 'AMBP', 'TSPAN8', 'TACSTD2']
lung	alveolar cells type 1	['P2RX7', 'EMP2', 'GPRC5A', 'ICAM1']
rectum	intestinal goblet cells	['MUC4', 'CDON']
colon	intestinal goblet cells	['MUC4', 'CDON']
testis	leydig cells	['PLAUR', 'THBS2', 'EDNRA', 'PTCH1']
ovary	granulosa cells	['GAPDH', 'MCAM']
breast	adipocytes	['LRP1', 'MPZL1', 'TLR4', 'SLC2A4', 'TNFRSF9', 'SLC1A5', 'EGFR', 'ADAM12', 'AOC3', 'STEAP4', 'TMEM26', 'COL6A2', 'FZD4', 'ADRB2', 'TLR2']
immune	macrophages	['SIGLEC1', 'CD163']
immune	b-cells	['TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'IGHG4', 'MME', 'SLAMF6', 'CD5', 'CD40', 'IGHG1', 'CD70', 'CCR7', 'LTB', 'TLR9', 'CD22', 'LAIR1', 'CD72', 'CD80', 'TNFRSF9', 'BST1', 'CD14', 'PDCD1', 'CD79A', 'TNFRSF17', 'CD74', 'CD38', 'CD27', 'CD79B', 'CD86', 'MS4A1', 'IGHM', 'FCER2', 'CD19', 'CR2', 'HLA-DQA1', 'BTLA', 'PTPRC']
pbmc	platelets	['HLA-A', 'CD69', 'ESAM', 'LAMP2', 'CD151', 'CD40', 'ITGB1', 'CCR4', 'ITGA6', 'ITGB3', 'TLR4', 'CD47', 'ADAM10', 'ITGA2B', 'CLEC1B', 'LRRC32', 'LTBR', 'PECAM1', 'F2R', 'CD14', 'F11R', 'CD48', 'CRLF2', 'HFE', 'GP5', 'SELP', 'PTGS2', 'TLR1', 'CXCR1', 'BSG', 'ITGAV', 'CD63', 'ICAM2', 'CD226', 'FCGR2A', 'CD36', 'SELPLG', 'ITGB2', 'CD109', 'ITGA2', 'SCARB1', 'CD40LG', 'CD84']
skin	melanocytes	['ATP1B1', 'SLC45A2', 'CTNS', 'TYRP1', 'ENPP1', 'GPNMB', 'DCT']
brain	oligodendrocytes	['BACE1', 'RTN4', 'MCAM', 'S1PR5', 'TYRO3', 'NPC1', 'CNTNAP2', 'THY1', 'CXADR', 'ERBB3', 'GRIA2', 'ITGB4', 'TMEM63A', 'P2RX7', 'HEPACAM', 'FGFR2', 'LRRN1', 'EVI2A', 'SEMA4D', 'ALCAM', 'CDH13', 'TSPAN15', 'EPHB1', 'OPCML', 'PDGFRA', 'PCDH15', 'CSPG4', 'UGT8', 'EFNB3', 'PCDH9']
immune	dendritic cells	['LY75', 'HLA-A', 'HLA-DRA', 'CD1C', 'FCGR2B', 'ADAM19', 'CADM1', 'CD83', 'FLT3', 'SIGLEC6', 'NAAA', 'CCR7', 'TLR9', 'CD22', 'AXL', 'HLA-C', 'HLA-DPB1', 'CD163', 'SEMA4A', 'HLA-B', 'CD14', 'CXCL16', 'HFE', 'HLA-DQB1', 'HLA-DRB5', 'SIRPA', 'SLAMF7', 'HLA-DRB1', 'ITGAX', 'P2RY10', 'CD86', 'HLA-DPA1', 'DPP4', 'TLR3', 'ITGAM', 'KIT', 'GPR132', 'ITGAE', 'PDCD1LG2', 'FCGR3A', 'CD180', 'CXCR3', 'CR2', 'HLA-DQA1', 'BTLA', 'CD28', 'CD1B', 'PTPRC']
immune	nk-cells	['KIR3DL1', 'CD69', 'CD2', 'IL2RG', 'SLAMF6', 'NCR3', 'CD244', 'KLRC1', 'CD7', 'KLRB1', 'KLRG1', 'SLAMF7', 'ITGAX', 'CD27', 'IL2RB', 'DPP4', 'SIGLEC7', 'ITGAM', 'CD3G', 'IL18R1', 'KIT', 'CLEC2D', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD33', 'LILRB1', 'ITGA2']
breast	fibroblasts	['ITGB1', 'THY1', 'PDGFRA', 'PDGFRB']
stomach	fibroblasts	['VIM', 'THY1', 'FAP', 'PDGFRA', 'PDGFRB', 'CSPG4', 'ITGB1', 'COL6A2']
lung	fibroblasts	['VIM', 'THY1', 'FAP', 'PDGFRA', 'PDGFRB', 'CD163', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'CD34']
pancreas	fibroblasts	['THY1', 'FAP']
esophagus	fibroblasts	['VIM', 'THY1']
placenta	syncytiotrophoblasts	['CD63']
thymus	fibroblasts	['PDGFRA', 'FAP']
immune	granulocytes	['ITGAM']
skin	fibroblasts	['VIM', 'THY1', 'FAP', 'APCDD1', 'PDGFRA', 'DPP4', 'CD36', 'MXRA8', 'COL6A2']
heart muscle	fibroblasts	['DDR2', 'THY1', 'PDGFRA']
skeletal muscle	fibroblasts	['PDGFRA']
