cell,markers
esophagus schwann cells,"['GPM6B', 'CDH19', 'SCN7A', 'MPZ', 'CHL1', 'L1CAM', 'NCAM1', 'GPR155', 'PRNP', 'SORCS1']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'ELOVL6', 'SLC7A2', 'SCARB1', 'CD302', 'LEPR', 'ENPP1', 'SEMA4G']"
rectum enteroendocrine cells,"['SLC29A4', 'APLP1', 'TMEM63C', 'EFNB3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'AMIGO2', 'TRHR', 'PCDHA6']"
colon t-cells,"['KLRB1', 'CD7', 'TRBC1', 'CD3D', 'TRAC', 'CD96', 'CLEC2D', 'GPR65', 'TMIGD2', 'TIGIT']"
fallopian tube smooth muscle cells,"['MCAM', 'MRGPRF', 'ITGA7', 'CSPG4', 'NTRK2', 'AOC3', 'NTRK3', 'SUSD5', 'SLC2A4', 'PTGIR']"
lung alveolar cells type 2,"['HHIP', 'ALPL', 'CACNA2D2', 'SLC6A14', 'SLC39A8', 'LRP2', 'AGTR2', 'ITGB6', 'SUSD2', 'MET']"
salivary gland plasma cells,"['IGHA1', 'IGHM', 'CD27', 'FCRL5', 'TNFRSF17', 'SLAMF7', 'SMPDL3B', 'IL5RA', 'FCRL2', 'SIGLEC5']"
brain astrocytes,"['GPC5', 'SLC1A3', 'FGFR3', 'GABRA2', 'SLC14A1', 'CACHD1', 'RYR3', 'HEPACAM', 'ATP1B2', 'EPHB1']"
bronchus ciliated cells,"['TSPAN1', 'MUC4', 'MUC16', 'CHST6', 'PROM1', 'CELSR1', 'DYNC2H1', 'PLXNB1', 'CACNG6', 'IL5RA']"
colon undifferentiated cells,"['DCBLD2', 'KITLG', 'NTSR1', 'ELFN2', 'EPHB2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR']"
kidney b-cells,"['IGHM', 'LTB', 'CD79B', 'CD79A', 'MS4A1', 'FCER2', 'CD19', 'BTLA', 'CD37', 'SELL']"
kidney collecting duct cells,"['CLU', 'L1CAM', 'AGRN', 'ITGB6', 'ERMP1', 'ERBB2', 'GABRA2', 'KITLG', 'SLC45A4', 'SIGLEC5']"
prostate smooth muscle cells,"['MCAM', 'SUSD5', 'CSPG4', 'MFGE8', 'SLC7A2', 'ADRA2A', 'MRGPRF', 'JAG1', 'SIGLEC5', 'PCDHGC5']"
thymus plasma cells,"['IGHG1', 'IGHG2', 'IGHM', 'IGHA1', 'IGHG4', 'TNFRSF17', 'CD38', 'CLPTM1L', 'FCRL5', 'SLAMF7']"
prostate prostatic glandular cells,"['PMEPA1', 'SLC39A6', 'DPP4', 'EPHA5', 'PCDHA11', 'SIGLEC5', 'SLC26A5', 'PCDHGC5', 'TRHR', 'PCDHA6']"
tongue basal keratinocytes,"['IGHG2', 'IGHG4', 'IGHG1', 'IGHA1', 'IGHM', 'CD27', 'LRP4', 'SLAMF7', 'TNFRSF17', 'PTPRZ1']"
placenta hofbauer cells,"['CD14', 'PLAUR', 'CD36', 'GPNMB', 'FCGRT', 'ITGB2', 'FCGR1A', 'EVI2A', 'CD68', 'MSR1']"
skeletal muscle skeletal myocytes,"['ANO5', 'ACHE', 'CDH15', 'FREM2', 'CACNG6', 'SLC2A4', 'PCDHGA8', 'SIGLEC5', 'PCDHA11', 'PCDHA6']"
tongue macrophages,"['HLA-DQB2', 'HLA-DQB1', 'HLA-DPB1', 'HLA-DQA2', 'HLA-DRA', 'HLA-DPA1', 'IL1R2', 'CLEC5A', 'CD86', 'CD83']"
adipose tissue fibroblasts,"['COL6A2', 'THY1', 'SCARA5', 'CTSK', 'GPNMB', 'MXRA8', 'PROCR', 'ABCA8', 'MRC2', 'PDGFRA']"
adipose tissue dendritic cells,"['SLC15A4', 'IL3RA', 'CXCR3', 'SEL1L3', 'SEMA7A', 'SLC7A5', 'RET', 'EPHB1', 'SLC1A4', 'KCNK17']"
pbmc monocytes,"['FCGR3A', 'LRRC25', 'CD33', 'PILRA', 'LILRA1', 'TNFRSF8', 'SIGLEC10', 'SIGLEC5', 'PCDHGC5', 'ALPP']"
fallopian tube neutrophils,"['FCGR3B', 'RNF149', 'IL1R2', 'VNN2', 'SELL', 'MME', 'CXCR1', 'SORL1', 'PLXNC1', 'CPD']"
kidney proximal tubular cells,"['DPEP1', 'FOLR1', 'LRP2', 'CDH6', 'VCAM1', 'ENPEP', 'IL17RB', 'THY1', 'SLC2A9', 'NPR3']"
spleen macrophages,"['CYBB', 'CD68', 'LILRA5', 'CLEC12A', 'PTGS2', 'CD302', 'PILRA', 'PLAUR', 'LILRA1', 'LILRB1']"
breast fibroblasts,"['COL6A2', 'CTSK', 'ABCA8', 'MXRA8', 'ADAM12', 'PCDH18', 'LRP1', 'THY1', 'MRC2', 'THBS2']"
esophagus plasma cells,"['IGHA1', 'IGHG2', 'CD79A', 'TNFRSF17', 'SLAMF7', 'CD27', 'TNFRSF13B', 'FCRL5', 'BSCL2', 'SEL1L3']"
adipose tissue t-cells,"['IL7R', 'KLRB1', 'CD2', 'TRBC1', 'TRAC', 'TIGIT', 'CD3G', 'CD40LG', 'CD3D', 'TNFRSF9']"
bronchus ionocytes,"['PCDHA11', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'PCDHGB1']"
lung t-cells,"['PRF1', 'IL7R', 'TRAC', 'TRBC1', 'CD3D', 'CD2', 'KLRF1', 'CD3G', 'KLRG1', 'NCR3']"
lung club cells,"['CLCA2', 'SIGLEC5', 'PCDHA11', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'UGT1A9']"
bone marrow b-cells,"['MS4A1', 'CD37', 'CD79A', 'CD79B', 'CD22', 'CD19', 'FCER2', 'FCRL3', 'FCRL2', 'BTLA']"
endometrium endometrial stromal cells,"['APCDD1', 'MME', 'PTCH1', 'PDGFRA', 'MXRA8', 'ADRA2C', 'HTR2B', 'CDH11', 'SEMA5A', 'GABRA2']"
skin t-cells,"['CD3D', 'TRAC', 'CLEC2D', 'TRBC1', 'CD40LG', 'CD96', 'TIGIT', 'CD28', 'CD3G', 'CD2']"
thymus macrophages,"['CD163', 'MRC1', 'STAB1', 'MERTK', 'SIGLEC1', 'FCGR3A', 'CPM', 'MSR1', 'SLC1A3', 'CMKLR1']"
vascular smooth muscle cells,"['STEAP4', 'MFGE8', 'ITGA8', 'THBS2', 'MCAM', 'F2R', 'CDH13', 'SLC7A2', 'SUSD5', 'SLC14A1']"
adipose tissue schwann cells,"['HLA-DPA1', 'HLA-DPB1', 'CPVL', 'CD74', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'HLA-DRA', 'HLA-DRB5', 'CADM1']"
liver kupffer cells,"['CD163', 'VCAM1', 'CD68', 'FCGR3A', 'MSR1', 'CR1', 'CYBB', 'IL1R2', 'AXL', 'ITGAM']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SGCD', 'SLC5A1', 'SLC2A4', 'CLCN6', 'PARM1', 'ANO5', 'ITGA7', 'FNDC5']"
placenta smooth muscle cells,"['AREG', 'COL6A2', 'AGTR1', 'ENPP1', 'THY1', 'NID2', 'CDH11', 'F3', 'ITGA1', 'LAMA2']"
liver plasma cells,"['IGHM', 'IGHA1', 'IGHG1', 'IGHG2', 'IGHG4', 'TNFRSF17', 'CD27', 'CD38', 'TNFRSF13B', 'FCRL5']"
brain excitatory neurons,"['PTPRD', 'LRP1B', 'NEGR1', 'SLC8A1', 'OPCML', 'EFNA5', 'EPHA5', 'CNTNAP2', 'GABRB3', 'PCDH7']"
fallopian tube ciliated cells,"['FOLR1', 'DYNC2H1', 'TCTN2', 'IL5RA', 'CACNG6', 'CHST6', 'SIGLEC5', 'PCDHGC5', 'GP5', 'PCDHA11']"
adipose tissue nk-cells,"['PRF1', 'KLRC1', 'KLRF1', 'CD7', 'IL2RB', 'S1PR5', 'KIR3DL1', 'KIR2DS4', 'FCRL6', 'CD160']"
lung ciliated cells,"['TSPAN1', 'ANPEP', 'DYNC2H1', 'BACE1', 'HHLA2', 'CACNG6', 'ADORA1', 'MUC16', 'IL5RA', 'CHST6']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'PROM2', 'HHLA2', 'FGFR4', 'HTR1D', 'FREM2', 'SIGLEC5', 'ADORA1', 'PCDHGC5']"
adipose tissue macrophages,"['HLA-DRA', 'HLA-DRB1', 'HLA-DQA1', 'IL1R2', 'HLA-DQB1', 'HLA-DPB1', 'MRC1', 'CD1C', 'OLR1', 'CD163']"
bone marrow plasma cells,"['IGHG2', 'IGHM', 'TNFRSF17', 'CD38', 'FCRL5', 'TMEM156', 'TSHR', 'TM9SF1', 'SLAMF7', 'TNFRSF13B']"
skeletal muscle endothelial cells,"['AQP1', 'ICAM2', 'PLVAP', 'CLEC14A', 'HYAL2', 'FLT1', 'PTPRB', 'CDH5', 'ESAM', 'PODXL']"
heart muscle endothelial cells,"['AQP1', 'CD36', 'PECAM1', 'CDH5', 'FLT1', 'ITGA1', 'PODXL', 'PTPRB', 'NRP1', 'SLC14A1']"
thymus endothelial cells,"['PLVAP', 'PECAM1', 'AQP1', 'CLEC14A', 'RAMP3', 'ICAM1', 'THBD', 'SLCO2A1', 'LIFR', 'LRRC32']"
vascular endothelial cells,"['PLVAP', 'AQP1', 'PECAM1', 'PKHD1L1', 'LIFR', 'PTPRB', 'SLCO2A1', 'RAMP3', 'PODXL', 'CDH5']"
eye cone photoreceptor cells,"['CHRNA3', 'PROM1', 'BACE1', 'CNNM4', 'HEG1', 'ELFN1', 'SIGLEC5', 'PCDHGC5', 'TPTE', 'TRHR']"
fallopian tube endothelial cells,"['AQP1', 'FLT1', 'VCAM1', 'LRRC32', 'CLEC14A', 'SLCO2A1', 'SELP', 'PLVAP', 'ABCB1', 'ESAM']"
fallopian tube plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'CD79A', 'CD27', 'TNFRSF17', 'FCRL5', 'TNFRSF13B', 'SLAMF7']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'CD4', 'RAMP3', 'NPY1R', 'FCGR2B', 'IL13RA2', 'LIFR', 'DCHS1', 'TBXA2R']"
stomach b-cells,"['MS4A1', 'CD79A', 'LY9', 'CD37', 'CD83', 'CD19', 'CXCR5', 'FCRL2', 'CR2', 'CD22']"
thymus b-cells,"['MS4A1', 'CD79A', 'LY9', 'CD19', 'TNFRSF13B', 'CD22', 'CXCR5', 'FCER2', 'CD37', 'CD83']"
skin basal keratinocytes,"['AREG', 'ITGA2', 'CXADR', 'FGFR3', 'ADRB2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6']"
breast t-cells,"['CD69', 'KLRB1', 'CD3D', 'TRAC', 'TRBC1', 'CD7', 'CD2', 'PRF1', 'KLRF1', 'CD3G']"
testis spermatocytes,"['LY6K', 'SLC2A5', 'GLT8D1', 'GPR39', 'SLC22A16', 'PCDH17', 'FAM174A', 'ABCA5', 'DYNC2H1', 'TPTE']"
vascular macrophages,"['CD163', 'MRC1', 'MSR1', 'STAB1', 'FCGR2A', 'SLC1A3', 'EMB', 'FCGR3A', 'CPM', 'CD84']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'TSPAN8', 'ACE', 'SLC5A1', 'ATP1A1', 'ENPEP', 'MME', 'HLA-DRB5', 'SLC2A5']"
placenta endothelial cells,"['FCGR2B', 'APLNR', 'ICAM2', 'PECAM1', 'JAM2', 'ESAM', 'CD34', 'PCDH17', 'HYAL2', 'CLEC14A']"
salivary gland b-cells,"['CD79A', 'MS4A1', 'CD37', 'CD79B', 'FCER2', 'CD22', 'LY9', 'TNFRSF13B', 'CXCR5', 'CNR2']"
bone marrow macrophages,"['CYBB', 'CD68', 'LILRA5', 'CLEC12A', 'LRRC25', 'LILRB1', 'PILRA', 'FCGR3A', 'LILRA1', 'FCGR1A']"
stomach gastric mucus-secreting cells,"['SLC9A1', 'MST1R', 'LAMA3', 'PLXNB2', 'MUC4', 'GOLM1', 'ITGB4', 'SLC26A5', 'SEMA4G', 'SLC45A4']"
small intestine enteroendocrine cells,"['SLC29A4', 'TMEM63C', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
pancreas macrophages,"['CD68', 'CD14', 'MCEMP1', 'ITGB2', 'GPNMB', 'CLEC5A', 'PILRA', 'CYBB', 'PLAUR', 'LAIR1']"
pancreas endothelial cells,"['PLVAP', 'ESAM', 'ENG', 'PODXL', 'F2RL3', 'CD200', 'APLNR', 'TIE1', 'LAMA4', 'ACE']"
skin b-cells,"['IGHA1', 'HLA-DPB1', 'IGHG1', 'IGHG2', 'HLA-DPA1', 'CPVL', 'TNFRSF17', 'FLT3', 'PCDHGB1', 'SIGLEC5']"
bone marrow erythroid cells,"['MINPP1', 'ITGA2B', 'KCNH2', 'SLC22A16', 'TFRC', 'NTRK1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
rectum distal enterocytes,"['SLC26A2', 'PARM1', 'HHLA2', 'CDH17', 'CLCN2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6']"
lung fibroblasts,"['FGFR4', 'CDH11', 'PDGFRA', 'AOC3', 'PCDHGC5', 'SIGLEC5', 'PCDHGB1', 'TRHR', 'PCDHA11', 'PCDHA6']"
stomach plasma cells,"['IGHA1', 'IGHM', 'TNFRSF17', 'CD79A', 'CD38', 'SEL1L3', 'SLAMF7', 'FCRL5', 'CD27', 'ITGB7']"
salivary gland smooth muscle cells,"['MCAM', 'ITGA8', 'ITGA7', 'SLC7A2', 'EDNRA', 'SUSD5', 'CDH6', 'LAMA3', 'CSPG4', 'SUSD2']"
eye bipolar cells,"['AMIGO2', 'PLXDC1', 'KCNH2', 'NTNG1', 'SLC23A2', 'CADM3', 'APLP1', 'GABRB3', 'IGSF1', 'ELFN2']"
small intestine paneth cells,"['MSLN', 'ADRA2A', 'CNTFR', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1']"
skin langerhans cells,"['HLA-DRA', 'HLA-DRB1', 'HLA-DPB1', 'HLA-DQB1', 'HLA-DQA1', 'CD1C', 'IL1R2', 'PLAUR', 'HLA-DPA1', 'CD83']"
adipose tissue adipocytes,"['CD36', 'HYAL2', 'PLVAP', 'CDH5', 'S1PR1', 'PECAM1', 'AQP1', 'ESAM', 'F2RL3', 'CLEC14A']"
esophagus b-cells,"['MS4A1', 'CD37', 'CXCR5', 'CD19', 'CD83', 'CD70', 'CNR2', 'FCRL2', 'CD80', 'SIGLEC5']"
salivary gland endothelial cells,"['PLVAP', 'AQP1', 'PECAM1', 'FLT1', 'PTPRB', 'CLEC14A', 'RAMP3', 'SLCO2A1', 'LRRC32', 'F2RL3']"
skeletal muscle smooth muscle cells,"['MFGE8', 'ITGA7', 'AGTR1', 'PDGFRB', 'SCN4B', 'NFASC', 'ICAM2', 'DCBLD1', 'AOC3', 'NPY1R']"
skin suprabasal keratinocytes,"['KRT1', 'LYPD3', 'MPZL2', 'EMP2', 'CXADR', 'CA12', 'PLA2G3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
spleen t-cells,"['IL7R', 'PRF1', 'CD69', 'KLRB1', 'GPR65', 'CD7', 'LTB', 'KLRF1', 'CD3D', 'KLRG1']"
thymus t-cells,"['IL7R', 'CD69', 'TRAC', 'CD3D', 'CD7', 'TRBC1', 'TIGIT', 'CD3G', 'CD28', 'CD2']"
liver erythroid cells,"['KCNH2', 'TFRC', 'MINPP1', 'SLC22A16', 'SLC6A9', 'ACHE', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
spleen plasma cells,"['IGHG1', 'IGHG2', 'IGHM', 'CD38', 'TNFRSF17', 'CD27', 'FCRL5', 'TMEM156', 'TNFRSF13B', 'BSCL2']"
vascular t-cells,"['IGHG4', 'IL7R', 'CD69', 'SLAMF6', 'CD2', 'IL2RA', 'CD226', 'CD96', 'SIGLEC5', 'PCDHGC5']"
bronchus basal respiratory cells,"['BCAM', 'ITGB6', 'CDH3', 'LAMA3', 'CLCA2', 'RAET1G', 'ITGB4', 'FAP', 'IFNGR1', 'CD109']"
adipose tissue b-cells,"['IGHG1', 'IGHM', 'IGHA1', 'IGHG4', 'CD79A', 'MS4A1', 'IGHG2', 'LY9', 'TNFRSF13B', 'TMEM156']"
pancreas ductal cells,"['F3', 'CEACAM6', 'VNN1', 'VCAM1', 'TSPAN2', 'AMBP', 'TACSTD2', 'GGT1', 'TSPAN8', 'TNFRSF21']"
fallopian tube lymphatic endothelial cells,"['FLT4', 'CALCRL', 'LRRC15', 'TIE1', 'EFNA5', 'COLEC12', 'F2RL3', 'TSPAN18', 'ITGA9', 'UNC5A']"
lung alveolar cells type 1,"['EMP2', 'GPRC5A', 'CEACAM6', 'SLC39A8', 'ITGA3', 'MSLN', 'PLXNA1', 'ROR1', 'ALPP', 'LAMA3']"
bone marrow t-cells,"['PRF1', 'IL7R', 'LTB', 'KLRF1', 'KLRG1', 'SELL', 'CCR7', 'CD2', 'GPR174', 'KIR2DS4']"
breast macrophages,"['HLA-DPA1', 'HLA-DRB1', 'HLA-DRA', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQB1', 'CD83', 'CD74', 'CD1C', 'FCGR2B']"
thymus smooth muscle cells,"['STEAP4', 'MCAM', 'MFGE8', 'ITGA8', 'BCAM', 'SUSD2', 'GGT5', 'ACTN1', 'AOC3', 'ITGA7']"
rectum intestinal goblet cells,"['SLC12A2', 'TSPAN1', 'ST3GAL4', 'DISP2', 'TSPAN13', 'MUC4', 'CACNA2D2', 'PARM1', 'VIPR1', 'FAM174B']"
ovary smooth muscle cells,"['MCAM', 'MFGE8', 'BCAM', 'PDGFRB', 'AOC3', 'ITGA7', 'ENPEP', 'SUSD5', 'CSPG4', 'PTGIR']"
spleen b-cells,"['MS4A1', 'CD74', 'CD79A', 'CD37', 'CD83', 'LY9', 'CR2', 'FCER2', 'CD19', 'CD22']"
thymus mesothelial cells,"['MSLN', 'MUC16', 'SLC39A8', 'PROCR', 'LRP2', 'RAET1G', 'PTGER3', 'ROR2', 'CDON', 'EFNB3']"
prostate basal prostatic cells,"['ENPP3', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHA6', 'HTR1D', 'UGT1A9']"
skin endothelial cells,"['AQP1', 'PLVAP', 'RAMP3', 'CD200', 'CD34', 'JAM2', 'FLT4', 'S1PR1', 'ESAM', 'SELP']"
ovary lymphatic endothelial cells,"['FLT4', 'NRP2', 'TIE1', 'HYAL2', 'PKHD1L1', 'LRRC15', 'ITGB4', 'PCDHGB4', 'UNC5B', 'SLC26A5']"
kidney distal tubular cells,"['PTGER3', 'TYRP1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
endometrium glandular and luminal cells,"['CLU', 'IL6ST', 'SLC26A2', 'ENPP3', 'CPM', 'MUC16', 'SLC39A14', 'SLC7A2', 'DPP4', 'ITGB8']"
lung b-cells,"['CD79A', 'MS4A1', 'LTB', 'CD79B', 'LY9', 'TNFRSF13B', 'CD37', 'CD19', 'CD22', 'FCRL2']"
testis leydig cells,"['ABCA8', 'ENTPD2', 'HHIP', 'PDGFRA', 'FLRT2', 'AGTR1', 'SCARA5', 'IGDCC4', 'SLITRK4', 'SIGLEC5']"
fallopian tube secretory cells,"['MSLN', 'PKHD1L1', 'VNN1', 'CELSR2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'SLC15A2']"
pancreas exocrine glandular cells,"['LTB', 'TSPAN1', 'ITGB6', 'ACHE', 'ITGA2', 'DPEP1', 'HHLA2', 'ANO9', 'PCDHA10', 'ANPEP']"
pancreas fibroblasts,"['THY1', 'FAP', 'THBS2', 'PTK7', 'PDCD1LG2', 'IL13RA2', 'SIGLEC5', 'PCDHGC5', 'PCDHA6', 'TRHR']"
testis peritubular cells,"['DPEP1', 'ENG', 'F3', 'PTCH1', 'PDGFRA', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHGB4']"
breast adipocytes,"['CD36', 'AQP1', 'SLC14A1', 'RAMP3', 'PLVAP', 'CLEC14A', 'CDH5', 'APLNR', 'SCARB1', 'ESAM']"
esophagus fibroblasts,"['CTSK', 'SCARA5', 'PDGFRA', 'GPNMB', 'ABCA8', 'PLXDC1', 'THBS2', 'TNFRSF21', 'MXRA8', 'APCDD1']"
fallopian tube granulocytes,"['KIT', 'CD69', 'SIGLEC6', 'CRLF2', 'CSF1', 'TNFRSF9', 'PTAFR', 'NTRK1', 'CD274', 'KIAA1549']"
heart muscle smooth muscle cells,"['MCAM', 'SUSD5', 'ITGA8', 'SCN4B', 'CSPG4', 'AOC3', 'SIGLEC12', 'ENPEP', 'SIGLEC5', 'PCDHGC5']"
liver endothelial cells,"['STAB1', 'FCGR2B', 'FLT1', 'PLXND1', 'OSMR', 'NPR1', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
salivary gland mucus glandular cells,"['SLC6A14', 'PROM1', 'PCDHGC5', 'SIGLEC5', 'PCDHA11', 'PCDHA6', 'SLITRK6', 'TRHR', 'TPTE', 'TMEFF1']"
lung smooth muscle cells,"['PDGFRB', 'MCAM', 'AOC3', 'MRGPRF', 'CSPG4', 'TRPC6', 'KCNK17', 'PTGIR', 'CDH6', 'LRRC4B']"
prostate endothelial cells,"['FLT1', 'LIFR', 'PLVAP', 'CLEC14A', 'AQP1', 'PTPRB', 'PECAM1', 'PODXL', 'LRRC32', 'SELP']"
skin smooth muscle cells,"['ADRA2A', 'P2RX1', 'ITGA8', 'PGAP1', 'NTRK2', 'MCAM', 'AXL', 'AOC3', 'CDH6', 'TSPAN2']"
vascular fibroblasts,"['SCARA5', 'COL6A2', 'LAMA2', 'PDGFRA', 'ABCA8', 'DDR2', 'EGFR', 'LRP1', 'FGFR1', 'PCDH18']"
adipose tissue smooth muscle cells,"['STEAP4', 'AGTR1', 'SCN4B', 'PDGFRB', 'ENPEP', 'EDNRA', 'SLC7A2', 'VIPR1', 'SUCNR1', 'AOC3']"
brain microglial cells,"['ABCB1', 'COLEC12', 'FLT1', 'ENTPD1', 'LAMA2', 'KCNK17', 'SIGLEC5', 'LPAR5', 'PCDHGC5', 'PCDHA11']"
testis macrophages,"['CD163', 'CD14', 'IL1R2', 'FCGR3A', 'ITGB2', 'EVI2A', 'FCGR1A', 'MSR1', 'FCGR2B', 'FCGR2A']"
endometrium endothelial cells,"['PCDH17', 'CALCRL', 'LEPR', 'SLC39A10', 'TEK', 'CDH5', 'APLNR', 'CD34', 'TIE1', 'FAM171A1']"
adipose tissue monocytes,"['LILRA5', 'PLAUR', 'PILRA', 'FCGR3A', 'VNN1', 'LILRA1', 'LRRC25', 'SIGLEC10', 'ITGAX', 'LILRB1']"
esophagus smooth muscle cells,"['EDNRA', 'ITGA7', 'MRGPRF', 'ADRA2A', 'ATP1B2', 'AOC3', 'NPY1R', 'CDH6', 'TRPC6', 'SUSD5']"
tongue granulocytes,"['CD69', 'KIT', 'GPR65', 'SIGLEC6', 'KIAA1549', 'IL18R1', 'PTGS2', 'CPM', 'TNFRSF9', 'IL5RA']"
esophagus endothelial cells,"['PLVAP', 'AQP1', 'CALCRL', 'RAMP3', 'FLT4', 'SLCO2A1', 'PKHD1L1', 'S1PR1', 'IL3RA', 'PECAM1']"
lung macrophages,"['HLA-DRA', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQB1', 'HLA-DRB5', 'CD163', 'MCEMP1', 'MRC1', 'HLA-DQA2', 'CD14']"
eye muller glia cells,"['CLU', 'RTN4', 'GPM6B', 'SLC1A3', 'ENO1', 'SLITRK2', 'SLC2A1', 'F3', 'SLC15A3', 'TMEM106C']"
liver smooth muscle cells,"['RAMP3', 'SELP', 'CLEC14A', 'JAM2', 'SLCO2A1', 'ITGA10', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
testis endothelial cells,"['RAMP3', 'CD34', 'CLEC14A', 'TIE1', 'FAM171A1', 'CALCRL', 'PTPRB', 'JAM2', 'APLNR', 'TEK']"
pbmc b-cells,"['CD79A', 'IGHM', 'CD79B', 'MS4A1', 'CD37', 'LTB', 'CD22', 'FCER2', 'IL4R', 'CD180']"
